"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"*Aphodius bivittatus (Everts, 1903)"
"Бурабай"
"Baangi Khel"
"*Chilo molybdellus (Osthelder, 1941)"
"*Alaba serrana (Smith & Gordon, 1948)"
"* Cronodoxa (Meyrick, 1922)"
"*Cryptolechia marcella (Busck, 1914)"
"*Verruconis gallopava (W.B. Cooke) Samerp. & de Hoog, (2013)"
"Kaveripoompattinam"
"Jubbega-Schurega"
"*Tephrosia canadaria (Guenée, 1857)"
"* Tetraneura ferghanensis (nomen nudum )"
"* Yersinella raymondii s ( (Yersin, 1860) )"
"Wilaya ya Serengeti"
"Amir Chak, Kusi Khurd"
"*Argyroploce antaea (Meyrick, 1912)"
"* Latirus sanguineus (Wood, 1828)"
"भोंदेय्,भ्वँत (नेपाल भाषा)"
"Ożarów Mazowiecki Commune"
"* Murex cnissodus (Euthyme, 1889)"
"*Xanthophaea lineolata (Chaudoir, 1872)"
"*Carabus gyllenhali (Schonherr, 1806)"
"vedukapuram"
"*Cronia indica Nevill, G. & H. Nevill, 1875"
"*Eremobates (Turner, 1939)"
"*Kowarzia (Thalhammer, 1900.)"
"*Myrina antipha (Hewitson, 1869)"
"Lenin District"
"Birnāwān"
"Leptura laevis Herbst, 1784"
"*Fidonia xanthometata (Walker, 1862)"
"* Calliostoma (Maurea) formosense (E. A. Smith, 1907)"
"Cyclostoma tricarinata (Say, 1817) (original combination)"
"*Bradyrrhoa lyratella (Chrétien, 1926)"
"Dalang, Dalanj"
"*Plagideicta leprosticta (Hampson, 1907)"
"*Homoeosoma stenoptycha (Herrich-Schäffer, 1849)"
"*Xylopmyges sunia"
"*Remigia ussuriensis (Bremer, 1861)"
"* Helix rupestris (Draparnaud, 1801) · unaccepted (original combination)"
"Chagyr"
"* Geloharpya murrayi (Chevrolat, 1855)"
"* Parapterochaos (Breuning, 1977)"
"*Geometra binexata (Walker, 1862)"
"*Botys alvinalis (Guenée, 1854)"
"*Trichromia bione (E. D. Jones, 1914)"
"Villano Beach"
"Sidi Yahia el Gharb"
"*Bombyx mariana (White, 1843)"
"Rāipur"
"* Lambesia (Whalley, 1970)"
"*Richia acclivis (Morrison, 1875)"
"*Dracaenura plebejifascialis (Rothschild, 1915)"
"Hwating"
"* Callichroma elegans (Leng& Mutchler, 1917)"
"* Natica (Notocochlis) gualteriana (Recluz, 1844)"
"*Choreutis monognoma (Diakonoff, 1978)"
"*Olethreutes erotias (Clarke, 1958)"
"Eulimoda (Laseron, 1955)"
"* Filicaulis (Tenacipes) tenax (Baker, 1931)"
"*Cyphoma finkli (Petuch, 1979)"
"* Conizonia albovittigera (Heyden) Breuning, 1954)"
"Kashmali"
"*Mictopsichia fuesslyana (Walsingham, 1914)"
"* Somatidia assimilata (Broun, 1880)"
"* Monochamus convexus (Bates) Jordan, 1903)"
"* Phocides jemadides (Röber, 1925)"
"* Morum lamarcki (Deshayes, 1844) (misspelling)"
"Skin spots"
"*Pseudoboarmia (McDunnough, 1920)"
"*Asteriscus militaris( Müller & Troschel, 1842)"
"*Orcella (Battarra(1755)"
"* Pterolophia m-grisea (Mulsant, 1846)"
"*Semasia quadrana ab. ochracea (Orstadius, 1932)"
"Oedemasylus laysanensis"
"Erebia splendens (Warren, 1936)"
"Horatocera Lewis, 1895"
"*Cenopis lamberti"
"Ajamil"
"* Diboma fossulata (Breuning, 1943)"
"* Eunidia tricarinipennis (Breuning, 1965)"
"Clear Creek Hot Springs"
"Lasiosphaeria pezizula"
"*Mosoda servilis (Meyrick, 1886)"
"*Utidana (Turner, 1935)"
"*Engelomyia (Townsend, 1931)"
"Sphinx ichneumoniformis (Denis & Schiffermüller, 1775)"
"* Evalea somersi (Verrill & Bush, 1900)"
"*Stenoma io (Busck, 1911)"
"*Phibalapteryx intestinata (Guenee, 1857)"
"*Caradrina ochroleuca (Lower, 1902)"
"Lessingia filaginifolia (Hook. & Arn.) M.A.Lane)"
"* Triplex cornucervi (Perry, 1811)"
"Ikalis"
"Qubeiba"
"*Anerastia rippertella (Zeller, 1839)"
"Sa'n al-Shajara"
"Mullagh (Kilmurry Ibrickane)"
"*Egnasia scopigera (Moore,[1885])"
"Rajmalpur"
"* Prionopeltis clarus (Chamberlin, 1920)"
"Hangchow, Hang Tsei, Hangchou"
"*Bucolarcha geodes (Meyrick, 1929)"
"*Cerapoda stylata (J. B. Smith, 1893)"
"*Geritola (Geritola) cyanea"
"*Erastria destituta"
"*Deuteroscopus (Hofmann, 1898) (misspelling)"
"Maleth, Melite, Melita"
"Cangas do Morrazo"
"* Cerambyx nobilis (Fabricius) Gmelin, 1790)"
"(Wade, 1993)"
"*Pseudoglaea blanda (Grote, 1876b)"
"*Phurys helveola (Herrich-Schäffer, 1869)"
"Harpulina harpa (Swainson,1835)"
"*Tineopsis (Dyar, 1913)"
"*Argyrotaenia lacernata (Yasuda, 1975)"
"*Scoparia amissella (Millière, 1864)"
"*Ornix petiolella (Frey, 1863)"
"*Argyroeides faveria (H. Druce, 1896)"
"* Favartia (Pygmaepterys) yemenensis (Houart & Wranik, 1989)"
"*Eunomia sordida (Walker, 1856)"
"* Murex scabriusculus (Linnaeus, 1767)"
"*Antarctia uniformis (E. D. Jones, 1912)"
"Tragocephala"
"*Ocinara ruficollis (Strand, 1910)"
"* Pyrenaria microcarpa var. microcarpa  (Dunn) H. Keng"
"*Eucosma cataraspis (Razowski, 1960)"
"* Paludina hanleyi Frauenfeld, 1864"
"*Goldfussia (Bronn, 1848)"
"*Lophuda (Hampson, 1926)"
"*Coenophila opacifrons"
"*Cidaria corsaria (Schawerda, 1928)"
"*Phyllomacromia bifasciata"
"* Pseudoxylamia trianguligera (Aurivillius, 1917)"
"*Cochylis saxicolana (Walsingham, 1879)"
"*Saliocleta (Norraca) longipennis"
"*Glaucopis ipomoeae (Harris, 1839)"
"Cercospora angolensis (T. Carvalho & O. Mendes, (1953)"
"*Pamphila floridae (Mabille, 1876)"
"Ozumba"
"Monoxenus (Dityloderus) multispinosus"
"*Hadena adjuncta (Moore, 1881)"
"*Euchromia leonis (Butler, 1876)"
"* Ringactaeon (F. Nordsieck, 1972)"
"Khandolee"
"*Tethea pectinata"
"*Strongylocentrotus lividus( (Lamarck, 1816)"
"*Castnia macularifascia (Houlbert, 1917)"
"* Micractaeon kakamegaensis Verdcourt, 1993"
"Seifertia azaleae (Peck) Partr. & Morgan-Jones, (2002)"
"Arantāngi"
"* † Escharella (Cossmann, 1888)"
"Patella calamus (Crosse & Fischer, 1864)"
"* Ypthima pupillaris paupera (Ungemach, 1932)"
"* Alvania keenae (Gordon, 1939)"
"*Phycis pinguis (Haworth, 1811)"
"*Tracheoniscus pierantonii (Arcangeli, 1932)"
"Włodowice Commune"
"*Boucerosia forskalii (Decne.)"
"* Chariesthes (Chariesthes) bella"
"Heiziwei"
"*Zeonia (Swainson,[1833])"
"* Conizonia kubani (Holzschuh, 1991)"
"*Brachyleptura cordigera (Füssli) Villiers, 1974)"
"* Lichenum gebieni (Reitter, 1906)"
"Mitra cremans (Reeve, 1845)"
"*Trapezia wardi"
"Ausvika"
"Cingula kuiperi (Verduin, 1984)"
"*Machimia mollis (Turner, 1946)"
"Pan de Azucar"
"*Mesobuthus martensi (Vachon, 1950)"
"* Bacillus desulfuricans (Saltet 1900)"
"*Orthosia lunifera (Walker, 1857)"
"*Erastria ritsemae (Snellen van Vollenhoven, 1880)"
"*Nepticula zermattensis (Weber, 1937)"
"Kunice Commune"
"Fusarium nervisequum"
"* Saperda 3-lineata (Say, 1827)"
"*Leucania pallida (Stephens, 1829)"
"*Stilifer ophidiastericola (Habe, 1951)"
"Hypselostoma megaphonum (van Benthem Jutting, 1950)"
"* Pachyta punctata Faldermann, 1833"
"Loktanella pyoseonensis"
"*Agrotis decora var. decorata (Neuburger, 1904)"
"*Aonidomytilus multiglandulatus (Kosztarab, 1963)"
"*Heliothis cupes (Grote, 1875)"
"Benguela"
"*Cimex rusticus Fabricius 1787"
"*Melia sericea (Curtis, 1828)"
"*Fomitopsis vinosa (Berk.)Imazeki(1952)"
"Onthocharis virescens (Westwood, 1842)"
"* Latirus varai (Bullock, 1970)"
"Canaryville"
"Bacterium okenii (Ehrenberg 1838) Trevisan 1879)"
"Jawalaji"
"Curvularia irregularis (Cralley & Tullis) Hara, (1959)"
"Neostruma (Brown, 1948)"
"*Sagaris (Walker, 1854)"
"* Temnosternus martini (Allard, 1894)"
"Keissleriella turcica (Luttr.) Arx, Gen. (1970)"
"Peretschke"
"Chandanathoppu"
"*Almonia cristata"
"*Echoneura (Butler, 1876)"
"*Valdainia plumosa"
"Hardo Verpal"
"Vermilionville"
"*Epiplema desistaria"
"Vijayapura"
"Manali Roundana"
"*Scotorythra rara ab. brunnea (Warren, 1896)"
"*Comatula rosacea( Fleming, 1828)"
"* Heliosphaerium (Frenzel 1897)"
"*Stenocorus belga major ( Voet, 1806 )"
"*Ovula minor (Pallary, 1900)"
"*Bapta anoxys (Wehrli, 1936)"
"* Phytoecia rufimana (Schrank) Villiers, 1974)"
"Downtown"
"Caranzale"
"* Sermyla kowloonensis (S.-F. Chen, 1943)  (junior synonym)"
"*Eupithecia fraxinata (Crewe, 1863)"
"* Pterolophia rubida (Breuning & de Jong, 1941)"
"Jitapur"
"*Coilostylis emarginata (Raf.)"
"*Josiodes suapurensis (Rothschild, 1912)"
"* Dorcadion divisum m. confluens (Breuning, 1962)"
"Puladinni"
"* Saperda bicornis (Olivier, 1795)"
"*Pristostegania bilineata (Warren, 1897)"
"* Columbella ocellata Link, 1807 (basionym)"
"Sternotomis variabilis semicyanea (Allard, 1993)"
"* Zizyphinus legrandi (Tenison-Woods, 1876)"
"Hodos"
"* Lyria cloveriana cloveriana (Weaver, 1963)· accepted, alternate representation"
"* Cerosterna plagiata (White, 1858)"
"Stadionbuurt"
"*Propygolampis bronni Weyenbergh 1874"
"Azotobacter acida, Azotobacter indicum, Azotobacter lacticogenes, Beijerinckia acida"
"Mananara Avaratra"
"*Dolichoderus lamellosa missionensis (Santschi, 1916)"
"* Natica josephinia var. aegyptiaca (Pallary, 1912)"
"* Chicoreus akritos (Radwin & D'Attilio, 1976)"
"Tamari"
"Andilana Avaratra"
"*Alypeta leptochlora (Turner, 1916)"
"* Paludestrina bucheti (Mabille, 1898) (dubious synonym)"
"Tylophora oblonga (N.E.Br.)"
"*Limnas (Hübner,[1806]) (suppressed)"
"* Oliva pygmaea (Reeve, 1850)"
"* Angianthus phyllocalymmeus (F.Muell.) Druce)"
"* Aphnaeus ruficaudis (Strand, 1918)"
"*Gelechia confusella (Chambers, 1875) (preocc. (Heinemann, 1870))"
"* Nitocris rufoantennalis (Breuning, 1950)"
"*Nudaria mendica (Walker, 1854)"
"* Streptoverticillium netropsis (Finlay et al. 1951) Baldacci et al. 1966 (Approved Lists 1980)"
"* Somatogyrus umbilicatus Walker, 1904"
"* Tergipes fustiferLovén, 1846"
"* Protostrioconus (Tucker & Tenorio, 2009)"
"*Leucochitonea lucetia (Hewitson, 1875)"
"Zerzur"
"*Tinea strigatus (Fabricius, 1798)"
"*Equestrimessor (Santschi, 1919)"
"*Zampa (de Nicéville, 1895)"
"Amekan kondre"
"الصرفند"
"Ansatospora acerina (R. Hartig) H.N. Hansen & Tompkins, (1945)"
"*Dorymyrmex pyramicus nigra (Pergande, 1896)"
"Clethridium corticola"
"*Polystictus lilacinogilvus (Berk.)Cooke(1886)"
"Pseudodichthadia (André, 1885)"
"Nerita bensoni (Récluz, 1850)"
"* Tagiades multipunctata (Crowley, 1900)"
"Eurydolops seymouriensis"
"*Boarmia diffusaria (Walker, 1860)"
"banser sharif"
"* Dirphya sessensis (Breuning, 1956)"
"*Plusia siderifera (Eversmann, 1856)"
"*Idionyx burliyarensis"
"* Odostomia (Egila) lacunata (Carpenter, 1856)"
"*Postia salmonicolor (Berk. & M.A. Curtis) M.J. Larsen & Lombard 1986)"
"* Microparsus erigeronensis (Thomas, 1878)"
"*Agrotis canariensis (Rebel, 1902)"
"* Plusargyria (Herrich-Schäffer, 1855)"
"*Tephroclystia perciliata (Warren, 1901)"
"Ceratocystis moniliformis f. wilsonii (B.K. Bakshi) C. Moreau, (1954)"
"Actinomyces violaceolatus"
"Faraday Research Base"
"Vicus Augusti"
"*Asura pallida (Rothschild, 1913)"
"Howard Air Force Base"
"* Vallonia (Planivallonia) (Schileyko, 1984) (junior synonym)"
"Karanja lad"
"*Liptena subvariegata aliquantum (Druce, 1910)"
"San Lorenzo"
"भुलेपुर"
"* † Maoricolpus proroseus (Marwick, 1931)"
"* Laccophilus cognatus (Sharp, 1882)"
"*Balignina (Moore,[1902])"
"*Cryptolechia simulatella (Walker, 1864)"
"* Eudesmula california (Dajoz 1992)"
"Tapesia yallundae var. yallundae (Wallwork & Spooner)"
"Epilachna territa Mulsant, 1850"
"* Dadoychus flavo-cinctus (Chevrolat, 1833)"
"Niža"
"* Oocorys lussii Bozzetti, 1990"
"*Euchromia tenebrosa (Walker, 1854)"
"* Helix despreauxii (d'Orbigny, 1839) (original combination)"
"Kabukgayan"
"*Spilobasis minor (Sick, 1941)"
"* Pugilina ternatanus (Gmelin, 1791)"
"*Botys vinacealis (Moore, 1877)"
"Coprinus subimpatiens var. diversicystidiatus (Bogart(1975)"
"* Blepisanis fervida (Pascoe, 1871)"
"eragaram"
"Mirānpur Pinwat"
"*Typhloblaniulus aberrans (Brolemann, 1921)"
"Erebia defessa (Hartig, 1924)"
"Skutvik"
"Species:"
"*Pseudomya biradiata (Felder, 1874)"
"* Polynema howardi"
"*Diastata fumipennis Meigen, 1830"
"* ""Ristellaceae"" (Prevot 1938)"
"* Acronotus Lacordaire, 1842"
"*Nastocerella (T. B. Fletcher, 1940)"
"*Diplotyla flexiguttalis (Warren, 1896)"
"Vitanje Trg (until 1953)"
"*Depressaria persicaeella (Murtfeldt, 1899)"
"*Namangana eugraphica (Turner, 1944)"
"* Mitra insignis (C.B. Adams, 1853)"
"* Eulima producta ( G.B. Sowerby III, 1894 )"
"* Pelargoderus sanghiricus (Breuning, 1948)"
"*Drepanulides (Motschulsky, 1866)"
"*Trachoma walsinghamiella (Busck, 1903)"
"Emert's Cove (former)"
"* Pseudotelopes testaceipes (Pic, 1916)"
"*Apodentinodia obscurella"
"*Parasia aprilella (Herrich-Schäffer, 1854)"
"Spinellus macrocarpus (Corda)P.Karst.(1878)"
"*Holcocerus strigatus (Austaut, 1897)"
"*Namangana variabilis (Barnes & McDunnough, 1912)"
"*Xanthodisca vibius rega f. evansi (Picard, 1949)"
"Ngư Hòa"
"* Praonetha variolosa (Kolbe, 1893)"
"* Pterolophia (Ale) vagestriata (Breuning, 1938)"
"*Zophodia porrecta"
"*Nepiomorpha cineraria (Turner, 1945)"
"* Patella rietensis (Turton, 1932)"
"* Cleistosphaeridium elegans He Chengquan 1991"
"East Anaheim"
"*Toxoides longipennis (Hampson, 1893)"
"Pastinaca brachytaenia (Boiss.) Koso-Pol.)"
"* Eulima neoattenuata (Gaglini, 1992)"
"Genus:"
"* Lottia onychina (Gould, 1852)"
"1818 Asterophora agaricoides (Fr. & Nordholm)"
"*Plocia conspersa Aurivillius, 1927"
"Asnawar"
"Noctua caliginosa (Hübner, 1813)"
"* Calliostoma (Tristichotrochus) multiliratum (Sowerby II, 1875)"
"*Pseudarenipses insularum (Speidel & Schmitz, 1991)"
"Biskupice Commune"
"* Phrissoma hipporhinus (White, 1858)"
"*Afghanobuthus (Lourenço, 2005)"
"*Castnia albofasciata (Schaufuss, 1870)"
"Abruzzi"
"*Zanclognatha lysimeloides (Hampson, 1893)"
"*Orneodes isshikii (Matsumura, 1931)"
"* Eunidia submarmorata (Breuning, 1968)"
"*Glaucopis isis (Boisduval, 1832)"
"* Teriomima adelgunda (Staudinger, 1892)"
"*Zebronia xiphialis (Walker, 1859)"
"Sheikh Bader"
"Karavalur"
"*Oligostigma villidalis (Walker, 1859)"
"*Geometra rubiginata (Denis & Schiffermuller, 1775)"
"* Odostomia obeliscus (Garrett, 1873)"
"* Callichroma griffithi Hope, 1840"
"*Nogo (Baehni)"
"* Chicoreus (Chicoreus) boucheti (Houart, 1983a)"
"* Murex santarosana Dall, 1905 (basionym)"
"* † Sigaretus cinctus (Hutton, 1885)"
"Heiligenbeil"
"* Littorina mauritiana var. gracilior (Philippi, 1847)"
"*Mongomioides (Brunetti, 1911)"
"*Rhamphorhynchus depressirostris (Huxley, 1859)"
"*Tegulata fimbriata (Leech, 1890)"
"*Fomes rubriporus (Quél.) Bres. & Cavara 1900)"
"*Dirades latifasciata (Moore, 1887)"
"Alteromonas putrefaciens (ex Derby and Hammer 1931) Lee et al. 1981)"
"Serpula lacrymans var. himantioides (Fr.) W.B.Cooke (1957)"
"* Fusinus (Chryseofusus) cadus (Hadorn & Fraussen, 2003)· accepted, alternate representation"
"*Oxygrapha porpacias (Meyrick, 1908)"
"Cynanchum flavens"
"* Patella albida (Mörch, 1853)"
"* Alphitopola sulcicollis (Kolbe, 1893)"
"Proximitra banksi (Dell, 1951)"
"*Holochila vicina (Grose-Smith, 1898)"
"Mundaragi"
"Turbonilla (Pyrgolampros) franciscana Bartsch, 1917"
"*Dyspessa clathrata pallida (Rothschild, 1912)"
"Kuldip Baskandi"
"*Silveria adelphilia (Dyar, 1925)"
"*Oecophora amasiella"
"* Aristida linarifolia (Rottler ex Hook.f.)"
"*Deiopejaheterochroa (Mabille, 1879)"
"Drosophila stipatissima (Romagn.(1970)"
"* Gerydus leos nineyanus (Fruhstorfer, 1914)"
"* Filopaludina sumatrensis sumatrensis (Dunker, 1852) · accepted, alternate representation"
"*Saturnia terpsichore (Maassen & Weymer, 1885)"
"*Tithorea umbratilis (Bates, 1866)"
"A.R. Nagar"
"Ógyalla"
"*Apethistis officiosa (Meyrick, 1918)"
"*Planotortrix coprosmae (Dugdale, 1988)"
"Ville d'Akon"
"Simal patan"
"Anchiphytoptus (Keifer, 1952)"
"Ziębice Commune"
"* Stenocladius basalis (Pic, 1921)"
"*Botys frustalis (Herrich-Schäffer, 1861)"
"Főrév"
"* Sesia formicaeformis ab. uniformis (Marquardt, 1959) (nec Sesia uniformis (Snellen 1900))"
"Turbonilla (Dunkeria) andrewsi Dall & Bartsch, 1909"
"Rubus villosus var. engelmannii (Focke)"
"* Parthenina atlantica (Locard, 1897)"
"Siakiang"
"*Copablepharon grande (Strecker, 1878)"
"Zaklików Commune"
"Symmyrmica chamberlini"
"*Halysidota dogniniana (Strand, 1919)"
"Великий Молокіш (Ukrainian)"
"MedQ"
"*Tegostoma comparalis sahariensis (Rothschild, 1921)"
"*Pyroderces terenopa (Meyrick, 1917)"
"*Cechenena aegrota occidentalis (Clark, 1935)"
"Mīrmau"
"*Leucospilapteryx dorsilineella (Amsel, 1935)"
"*Chiriphe anguliscripta (T. P. Lucas, 1890)"
"Kgalatlou"
"Ūlytau audany"
"* Guilandina echinata (Spreng. 1825)"
"Okolochi( English Translation Peaceful Land)"
"Karla"
"Леніне (Ukrainian)"
"*Paractius mutabilis( Saint-Joseph, 1888)"
"*Darna latimargo (Dognin, 1912)"
"*Phryganopsis isabellina (Kiriakoff, 1954)"
"Muscle pain, muscle ache"
"* Doris echinata Lovén, S.L., 1846"
"Neodunnia longeracemosa (R.Vig.)"
"* Ovula oviformis (Lamarck, 1801)"
"दानिश यासिन"
"*Lankabolus greeni (Hoffman, 1962)"
"*Cleis erycinoides (Felder, 1874)"
"*Botys disparalis (Walker, 1865)"
"*Noctua angulago"
"* Pugilina laevis Schumacher, 1817"
"City ofAlbany, New York"
"*Talorchestia quoyana (H. Milne-Edwards, 1840)"
"*Gonodontis barnesii (Hulst, 1896)"
"* Pilemia tigrina (Mulsant, 1851)"
"*Dasysphinx torquata (H. Druce, 1883)"
"*H. illinois (Dodge, 1872)"
"Lakhangāon"
"Littorina etolonensis (Sinelnikova in Gladenkov & Sinelnikova, 1990)"
"Breaffy"
"*Pseudomaxillaria chloroleuca (Barb.Rodr.) Hoehne)"
"*Ephyrodes cristifera (Walker, 1863)"
"Helicobasidium brebissonii (Desm.) Donk, (1958)"
"*Tegulata squamata (Pagenstecher, 1886)"
"Cottus kesslerii"
"*Aplodes (Guenée, 1857)"
"Corethrogyne caespitosa (Greene)"
"Oliva sairousa (Kilburn, 1980)"
"* Buccinum vibex (Linnaeus, 1758)"
"*Tinea oecophorella (Walker, 1866)"
"*Anartula albifascia (de Joannis, 1930)"
"*Dolioletta gegenbaueri"
"*Anochthera (Goldfinch, 1944)"
"Murex esychus (Dall, 1925)"
"*Gutenbergia elgonensis"
"*Polyporus vaillantii (DC.)Fr.(1821)"
"* Fulgoraria borealis (Masuda,1990)"
"*Hedylepta epicapna (Meyrick, 1933)"
"Drechslera zeicola (G.L. Stout)Subram.&B.L. Jain, (1966)"
"Chapoo"
"Xenophilus aerolata"
"Notoplax foveauxensis (Ashby, 1926)"
"Drzycim Commune"
"*Sesia nomadaeformis (Laspeyres 1801) (nec (Hübner,[1806]))"
"Хомољац"
"Pachyta cruciata (Kraatz, 1879)"
"* Altererythrobacter atlanticus (Wu et al. 2014)"
"Bonellitia vossi (Petit, 1976)"
"* Natica grisea (Martens, 1878) (Invalid: junior homonym of Natica grisea (Requien, 1848); Kerguelenatica bioperculata is a replacement name)"
"*Capnodes harmodia (Schaus, 1901)"
"* Sphaerocladia (Stueben (1939)"
"*Protomyctophum anderssoni (Lönnberg, 1905)"
"*Gracilaria albistriatella (Turner, 1894)"
"*Rhamidava pieridaria (Holland, 1920)"
"Ghutgoria"
"*Bulla amygdala ( Dillwyn, 1817) (incorrect subsequent spelling of amygdalus)"
"*Oligostigma pallida (Butler, 1886)"
"(Rosenroll (1904–1911)"
"Littorina radiata (Souleyet in Eydoux & Souleyet, 1852)"
"*Zephronia noticeps (Butler, 1872)"
"Caulomyrma (Forel, 1914)"
"* Evodinus interrogationis f. japonicus Fujimura, 1956 nec Matsushita, 1933"
"* Polygyra hirsuta (Say, 1817)  (unaccepted combination)"
"* Vetulonia josephinae (Dall 1927)"
"Pure Rathore Sirsira"
""
"*Hypoprepia rubrigutta (Walker, 1862)"
"Suwai Rural LLG"
"Boletus pseudosulphureus Kallenb,"
"Bihiya"
"Trichotropis nuda (Dall, 1927)"
"* Tillus distinctus (White, 1849)"
"* Columbella ligula (Duclos, 1835) (basionym)"
"Cerithium eriense (Kiener, 1841)"
"*Peplia (Hübner,[1819])"
"* Melanella crossei  Brusina, 1886"
"*Incrustoporia (Domański (1963)"
"*Phycis transversella (Duponchel, 1836)"
"*Nemoria pulmentaria (Guenee, 1858)"
"* Syrnola hanagaiensis (Nomura, 1938)"
"Boltanya"
"*Westermannia gloriosa"
"*Sericoris (Treitschke, 1830)"
"Tal Kalakh"
"Ramaria amethystina (Bull.) Gray (1821)"
"* Pteropurpura (Pteropurpura) expansa (G.B. Sowerby II, 1860)"
"बड़ागांव"
"* Parastathes fuscoamplata (Breuning, 1956)"
"Brevidiscinae, Neocobboldinae"
"*Azygophleps kilimandjarae (Le Cerf, 1914)"
"*Sabulodes cottlei (Barnes & Benjamin, 1926)"
"Erebia nana (Diószeghy, 1930)"
"Stereum crassum (Lév.) Fr., (1851)"
"*? Argyroploce claviculata (Meyrick, 1909)"
"* Purpura tristis (Dunker in Dunker & Zelabor, 1866)"
"*Cypraea connelli (Liltved, 1983)"
"*Epichaeta nepotella (Dietz, 1905)"
"Cordulia linteri (Hagen in Selys, 1878)"
"*Noctua annulata (Fabricius, 1794)"
"*Polyommatus strophius (Godart,[1824])"
"*Nonagria fraterna (Treitschke, 1835)"
"* Isandula Thomson, 1880"
"* Nyctimene ochraceovittata var. intermedia (Aurivillius, 1923)"
"Hyphomicrobium facilis"
"*Amylocystis (Bondartsev & Singer (1941)"
"*Eucallenia ragonoti (E. Hering, 1903)"
"Lincoln"
"* Amphionycha antiqua (Gahan, 1889)"
"Baradparwa"
"* Nerita flammea (Gmelin, 1791)"
"Kalpathi"
"* Peripatus (Epiperipatus) trinidadensis (Clark 1913)"
"*Thaumatographa aurosa"
"*Polymixis gemmea"
"*Ithomia norella (Hewitson, 1859)"
"*Mamestra tincta var. obscurata (Staudinger, 1897)"
"*Euplexia oxydata (Hampson, 1902)"
"* Nerita aurantia (Récluz, 1842)"
"Crithidia deanei (Carvalho 1973)"
"*Labdia iriphaea (Meyrick, 1932)"
"* Hypomeces guttulatus (Desbrochers des Loges, 1891)"
"(विश्वनाथगंज)"
"Salyān Khalangā"
"* Fissurella punctatissima (Pilsbry, 1890)"
"*Haetera piera lesbia (Bryk, 1953)"
"*Microglossum arenarium (Rostr. (1892)"
"* Epipertinax Kuwert, 1891"
"Ordbend"
"*Phalaena lidia"
"Befandriana-Nord"
"*Andrapana (Moore, 1898)"
"*Phaeocollybia perplexa (P.D.Orton (1977)"
""
"Silk city"
"*Ecpathophanes anachoreta (Bradley, 1951)"
"*Pristophora joesti (Amsel, 1953)"
"*Agaricus canarii (Jungh. (1838)"
"Kouadianinabango"
"** Graptovermidae (Kozlowski 1949)"
"*Xanthophaea fasciata (Sloane, 1915)"
"*Myelois bicolorella (Heinemann, 1864)"
"*Noctua servula (Drury, 1773)"
"* Bipontia (S.F.Blake)"
"*Stagmatophora vinsoni (Viette, 1953)"
"* Succinea rubescens (Deshayes, 1830)"
"العوقدين"
"*Hypochalcia melanella"
"*Pseudatteria maon"
"Halysidota mundula (Berg, 1882)"
"*Systropha fuscipes (Hampson, 1893)"
"*Eilema chalybeata (Hampson, 1901)"
"Phalaena citrata (Linnaeus, 1761)"
"Gouvernorat du Liban-Nord"
"* Brachycoleus decolor marginata Popov, 1965"
"*Lopharcha kopeki (Razowski, 1992)"
"*Lineodes valsaynalis (Kaye, 1923)"
"Urocystis tritici (Körn., (1877)"
"*Laverna domicolens (Butler, 1881)"
"*Eulocastra latifasciata (Wileman, 1911)"
"*Biselachista pusillella (Sinev & Sruoga, 1995)"
"Lepidium (accepted name)"
