<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"LH46EDCPLBC/EN, Samsung, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Samsung,350 cd/mÂ²,Speaker,,,1.07 Billion Colors,"5,000:1",94.8 mm,,,,,,,,Yes,,615.8 mm,178Â°,3 Year,Samsung,LH46EDCPLBC/EN,1920 x 1080,1.0,2.0,121 W,,,,,ED46C,LFD Display,LCD Monitor,,Full HD,"116.8 cm (46"")",Yes,60 Hz,500 mW,Yes,,178Â°,Yes,400 x 400,Yes,11.90 kg,1057.7 mm,,,220 V AC 110 V AC,,,,,,,,500 mW,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241S4LCB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,250 cd/mÂ²,,SEMKOTUV ErgoTUV/GSBSMICE MarkFCC Class BGOSTSASOUL/cUL,Black,16.7 Million Colours,"1,000:1",55 mm,,,Yes,Security Lock SmartErgoBase TrueVision SmartImage,RoHS TCO Certified Displays 5.2 WEEE ENERGY STAR 5.0 EPEAT Gold,Yes,Yes,,,352 mm,170Â°,,Philips Electronics,241S4LCB/00,1920 x 1080,1.0,,21.90 W,,,Mac PC,,241S4LCB,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,Full HD,"61 cm (24"")",,60 Hz,100 mW,,,160Â°,Yes,100 x 100,Yes,4.30 kg,565 mm,227 mm,403 mm,220 V AC 110 V AC,,565 mm,,,,,,100 mW,S,,,,6.30 kg,,,,,,,Yes,25%,,,,,,,,,,,,,,
"223V5LHSB/00, PHI-223V5LHSB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Philips,250 cd/mÂ²,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,Black,16.7 Million Colours,"1,000:1",50 mm,,,No,Security Lock Sync on Green SmartContrast SmartControl,TCO Certified Displays EPEAT Silver ENERGY STAR 6.0 WEEE RoHS,Yes,Yes,Yes,,316 mm,170Â°,,Philips Electronics,223V5LHSB/00,1920 x 1080,1.0,,15.85 W,,,Mac PC,V-line,223V5LHSB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,2.35 kg,503 mm,213 mm,376 mm,220 V AC 110 V AC,,503 mm,,,,,,500 mW,,No,,,2.61 kg,,,Wall Mountable,,,,,,No,,,,,,,,,,,,,
"193V5LSB2/10, 2759812, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,200 cd/mÂ²,,BSMI CE Mark cETLus FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307,Black,16.7 Million Colours,700:1,48 mm,,,,Sync on Green SmartContrast Security Lock,ENERGY STAR 6.0 RoHS EPEAT Silver WEEE,Yes,,,,273 mm,90Â°,2 Year,Philips Electronics,193V5LSB2/10,1366 x 768,1.0,,8.76 W,,,Mac PC,V-line,193V5LSB2,"LCD Monitor with SmartControl Lite 193V5LSB2 V-line 18.5"" / 47 cm",LCD Monitor,5 ms,HD,"47 cm (18.5"")",,60 Hz,500 mW,,,65Â°,Yes,100 x 100,Yes,1.94 kg,437 mm,170 mm,338 mm,220 V AC 110 V AC,,437 mm,,,,,,500 mW,,,,,2.15 kg,,,,,,,,,,,,,,,,,,,,,,
"60002712, 3967364, NEC Display Solutions, LCD Monitor, Itenergy Ltd",,,,16:9,CCFL,NEC Display,700 cd/mÂ²,,CETUV GSC-tickFCC Class BUL / C-UL or CSACCCPSBVCCI,Black,16.7 Million Colours,"4,000:1",150 mm,Landscape/Portrait,Yes,Yes,CableComp Carbon Footprint Meter Auto Brightness Control (ABC) Screen Saver Off Timer Zoom Picture on Picture Picture in Picture Video Wall TileComp TileMatrix Support Ambient Light Sensor Smart Scheduling,ENERGY STAR 5.0 EuP RoHS,Yes,Yes,Yes,,721 mm,,3 Year,NEC Display Solutions,60002712,1920 x 1080,1.0,,280 W,MultiSync P551 Widescreen LCD MonitorPower Cord15-pin D-sub CableSetup SheetWireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)3 x Clamp9 x Screw,,Mac PC,MultiSync,P551,MultiSync P551 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"139.7 cm (55"")",,60 Hz,1 W,,,,Yes,400 x 400,Yes,40.01 kg,1250.2 mm,,,220 V AC 110 V AC,,,,,,,,,P,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,,,,,Yes
"47WS10, LG47WS10, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,450 cd/mÂ²,,"FCC Class ""B""VCCIC-tickCEKCCULcULCB schemeTUV",Black,1.06 Billion Colors,"1,300:1",38.1 mm,Landscape/Portrait,Yes,Yes,Picture in Picture TileMatrix (5x5) Auto-off Video Wall Temperature Sensor Security Lock Sleep Timer,ErP ENERGY STAR 5.1,Yes,Yes,Yes,,645.2 mm,178Â°,,LG Electronics,47WS10,1920 x 1080,1.0,,120 W,,In-plane Switching (IPS) Technology,PC,Flatron,47WS10,"47"" class (46.9"" measured diagonally) LED Widescreen Full HD Capable Monitor",LCD Monitor,12 ms,Full HD,"119.4 cm (47"")",,60 Hz,1 W,Yes,USB 2.0,178Â°,Yes,400 x 400,Yes,17.51 kg,1102.4 mm,297.18 mm,721.36 mm,110 V AC 220 V AC,Anti-glare,1102.36 mm,,,,,,500 mW,,,,,18.91 kg,,,Wall Mountable,,,,,,Yes,,,Yes,Yes,,,,,,,,,
"27MP35HQ-B, 2998422, LG Electronics, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,LG,,,,Black,,"50,000,000:1",,,,,,TCO Certified Displays 6.0,Yes,Yes,Yes,,,,,LG Electronics,27MP35HQ-B,1920 x 1080,1.0,,,,In-plane Switching (IPS) Technology,,,27MP35HQ-B,27MP35HQ-B Widescreen LCD Monitor,LCD Monitor,5 ms,,"68.6 cm (27"")",,,,,,,Yes,,Yes,4.80 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"273E3LHSB/00, Philips, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Philips,390 cd/mÂ²,Speaker,,Black,,"20,000,000:1",,,,Yes,,,,,Yes,,,176Â°,,Philips Electronics,273E3LHSB/00,1920 x 1080,1.0,,,,,,,273E3LHSB,273E3LHSB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,,,,,170Â°,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#AB8, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,ENERGY STAR TCO Certified Edge,Yes,,,,329 mm,,3 Year,Hewlett-Packard,C9V75AA#AB8,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,,,544 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"272P4QPJKEB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Philips,300 cd/mÂ²,USB Hub Webcam Microphone,,,,"1,000:1",,,Yes,Yes,SmartImage,TCO Certified Edge EPEAT Gold ENERGY STAR,Yes,,Yes,,,178Â°,,Philips Electronics,272P4QPJKEB/00,2560 x 1440,1.0,,,,,Mac PC,,272P4QPJKEB,272P4QPJKEB Widescreen LCD Monitor,LCD Monitor,6 ms,QHD,"68.6 cm (27"")",,,,Yes,USB 3.0,178Â°,Yes,,,,,,,110 V AC 220 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A1X76AA#UUZ, 9438B1N, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,No,4:3,LED,HP,300 cd/mÂ²,Speaker USB Hub,UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001 EN 55022 Class A CSA BFR,Jack Black,,"1,000:1",40.6 mm,,Yes,Yes,Security Lock,China Energy Label (CEL) ENERGY STAR EPEAT Gold IT Eco Declaration Eco-label WEEE REACH,Yes,Yes,,,208.3 mm,176Â°,3 Year,Hewlett-Packard,A1X76AA#UUZ,1024 x 768,1.0,2.0,18 W,,,PC,,L6010,L6010 10.4-inch Retail Monitor,LCD Monitor,25 ms,XGA,"26.4 cm (10.4"")",Yes,60 Hz,1 W,Yes,USB 2.0,176Â°,Yes,75 x 75,Yes,1.18 kg,254 mm,,,220 V AC 110 V AC,Anti-static Anti-glare,,,,,,,500 mW,,,,,,,,,,,,Yes,15.7% Plastic,,,,,,,,,,,,,,
"C9V73AA#A2K, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,TCO Certified Edge ENERGY STAR,Yes,,,,289 mm,,3 Year,Hewlett-Packard,C9V73AA#A2K,1600 x 900,1.0,,30 W,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E201,EliteDisplay E201 20-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,,,Yes,,,,,Yes,5.20 kg,472.8 mm,228.90 mm,434.80 mm,,,472.80 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"VP2772, GLVSP2772, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,,,,,Viewsonic,,USB Hub,,,,"1,000:1",55.9 mm,,,Yes,,,,,Yes,,381 mm,178Â°,,Viewsonic Corporation,VP2772,2560 x 1440,1.0,,,,In-plane Switching (IPS) Technology,,,VP2772,"27"" (27"" Viewable) QHD Display with 99% Adobe RGB Color Space and Daisy Chain",LCD Monitor,,QHD,"68.6 cm (27"")",,,,Yes,USB 3.0,178Â°,,,,5.53 kg,642.6 mm,347.98 mm,469.90 mm,,,642.62 mm,,,,,,,,,,,8.53 kg,,,,,,,,,,,,,,,,,,,,,,
"CDP6530, B921370, ViewSonic, LCD Monitor, Itenergy Ltd",,,,16:9,,Viewsonic,500 cd/mÂ²,Speaker,,Black,,"5,000:1",136 mm,,,Yes,Picture in Picture Ambient Light Sensor Landscape/Portrait Viewable,,,,Yes,,900 mm,178Â°,,Viewsonic Corporation,CDP6530,1920 x 1080,1.0,2.0,520 W,,,,,CDP6530,CDP6530 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"165.1 cm (65"")",Yes,,,,,178Â°,Yes,400 x 400,Yes,70 kg,1500 mm,,,,Anti-glare,,,,,,,,,,,,,,,Wall Mountable,,,,Yes,,,,,Yes,Yes,,,,,,,,,Yes
"ET.BB3RE.D03, 8655F69, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,No,,,Acer,250 cd/mÂ²,Speaker,,Dark Grey,16.2 Million Colours,"20,000:1",198.5 mm,,,Yes,,TCO '05 TCO '03 TCO Displays 5.0,Yes,,,,422.7 mm,176Â°,3 Year,"Acer, Inc",ET.BB3RE.D03,1280 x 1024,1.0,,13.90 W,B173DOymdh LCD MonitorPower CableVGA CableDVI CableSpeaker Cable,Twisted Nematic Film (TN Film),,,B173DOymdh,B173DOymdh LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,75 Hz,580 mW,,,176Â°,Yes,100 x 100,Yes,4.90 kg,369.7 mm,,,,,,,,,,80 mm,,,,45Â°,-5Â°to20Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"196V4LAB2/00, 2547747, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,200 cd/mÂ²,Speaker,BSMICEFCCGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL,Glossy Black,16.7 Million Colours,600:1,48 mm,,,Yes,SmartContrast Security Lock,WEEE RoHS ENERGY STAR 5.0 EPEAT Silver,Yes,Yes,,,279 mm,90Â°,,Philips Electronics,196V4LAB2/00,1366 x 768,1.0,2.0,14.12 W,,,PC Mac,,196V4LAB2/00,LCD Monitor with LED Backlight,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",Yes,60 Hz,500 mW,,,65Â°,Yes,100 x 100,Yes,2.66 kg,443 mm,201 mm,349 mm,220 V AC 110 V AC,,443 mm,,,,,,500 mW,V,,,,2.98 kg,,,,,,,,,,,,,,,,,,,,,,
"60B3HAT2UK, S603VA0, Lenovo, LCD Monitor, Itenergy Ltd",Yes,Yes,,5:4,,Lenovo,250 cd/mÂ²,,NOM (Mexico) CCC (China) AAA-S(Serbia) KC (Korea) BSMI PSB (Singapore) ISC (Cambodia) cTUVus NEMKO ISO 9241-307 FCC Class B,Business Black,16.7 Million Colours,"1,000:1",165.1 mm,,,Yes,,WEEE ENERGY STAR 6.0 ULE Gold EPEAT Gold TÃV China Energy Label (CEL) TCO '06 RoHS TCO Certified Edge Displays 1.2,Yes,Yes,,,406.4 mm,170Â°,3 Year,Lenovo Group Limited,60B3HAT2UK,1280 x 1024,1.0,,16 W,,Twisted Nematic Film (TN Film),PC,ThinkVision,LT1713p,ThinkVision LT1713p 17-inch Square LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",,,500 mW,,,160Â°,Yes,,Yes,3.60 kg,370.8 mm,,,,,,,,,,110 mm,,,,,-3Â°to4Â°,,,,Desk Mountable Wall Mountable Arm-mountable,,,,,,,,,,,,,,,,,,,
"60A8KAT2UK, LNVCMG12, Lenovo, LCD Monitor, Itenergy Ltd",Yes,No,,16:9,LED,Lenovo,250 cd/mÂ²,Speaker,TUV Green Mark TUV,Black,16.7 Million Colours,"1,000:1",50 mm,,,No,Security Lock,ULE Gold TCO Certified Edge RoHS EPEAT Gold TCO Certified Displays 6.0 ENERGY STAR 6.0 China Energy Label (CEL),Yes,,Yes,,343.7 mm,170Â°,3 Year,Lenovo Group Limited,60A8KAT2UK,1920 x 1080,1.0,2.0,21 W,ThinkVision LT2423 24-inch FHD LED Backlit LCD Monitor Stand and Base VGA Cable Audio Cable Power Cord CD Quick Start and Safety Poster,,PC,ThinkVision,LT2423,ThinkVision LT2423 24-inch FHD LED Backlit LCD Monitor (Power Cord),LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,,,,160Â°,Yes,100 x 100,Yes,3.76 kg,567.1 mm,,,,,,,,,,,,,No,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"B7M13AA#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,200 cd/mÂ²,,,Black,,600:1,47.5 mm,,,Yes,Security Lock,WEEE REACH ENERGY STAR EPEAT Silver,Yes,Yes,,,281.5 mm,90Â°,1 Year,Hewlett-Packard,B7M13AA#ABU,1366 x 768,1.0,,24 W,"W1972a 47 cm (18.5) LED Backlit LCD Monitor VGA CableAudio CableAC Power Cord""",,,,W1972a,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,,,,,50Â°,,,Yes,,446.1 mm,170.20 mm,339.50 mm,220 V AC 110 V AC,Anti-reflective,446.10 mm,,,,,,,,,,,2.70 kg,,,,,,,,,,,,,,,,,,,,,,
"278C4QHSN/00, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,250 cd/mÂ²,,BSMICEFCC Class BGOSTSASOSEMKOTUV/ISO9241-307UL/cUL,,16.7 Million Colours,"1,000:1",44 mm,,,,SmartTxt SmartKolor SmartImage Security Lock Ambiglow,ENERGY STAR 5.0 EPEAT Silver TCO Certified Displays 5.2 RoHS WEEE,Yes,,Yes,,376 mm,178Â°,,Philips Electronics,278C4QHSN/00,1920 x 1080,1.0,,28.20 W,,In-plane Switching (IPS) Technology,PC Mac,Brilliance,278C4QHSN,Brilliance LCD Monitor with Ambiglow,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,60 Hz,400 mW,,,178Â°,,,Yes,5 kg,623 mm,197 mm,471 mm,110 V AC 220 V AC,,623 mm,,,,,,300 mW,,,,,5.44 kg,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#AB2, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,TCO Certified Edge ENERGY STAR,Yes,,,,329 mm,,3 Year,Hewlett-Packard,C9V75AA#AB2,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,,,544 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"LS24C570HL/EN, Samsung, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Samsung,250 cd/mÂ²,,,High Glossy Black,16.7 Million Colours,"1,000:1",100 mm,,,,MagicTune Magic Upscale Eco Saving MagicBright3 Off Timer MultiScreen MagicAngle,,,,Yes,,343 mm,178Â°,,Samsung,LS24C570HL/EN,1920 x 1080,1.0,,27 W,,,Mac PC,,S24C570HL,S24C570HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,,300 mW,,,178Â°,,,Yes,3.60 kg,567.8 mm,200 mm,567.80 mm,110 V AC 220 V AC,,436.50 mm,,,,,,,570,,,,4 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.VB6EE.001, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Acer,250 cd/mÂ²,,,Dark Grey,16.7 Million Colours,"100,000,000:1",52 mm,,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,Yes,,,325 mm,178Â°,3 Year,"Acer, Inc",UM.VB6EE.001,1920 x 1080,1.0,,21.90 W,B236HL Widescreen LCD MonitorPower Cord1 x VGA Cable1 x DVI Cable,In-plane Switching (IPS) Technology,,,B236HL,B236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",Yes,60 Hz,450 mW,,,178Â°,Yes,100 x 100,Yes,3.50 kg,544 mm,221 mm,530 mm,220 V AC 110 V AC,Anti-glare,544 mm,,,,,150 mm,350 mW,B,,60Â°,-5Â°to35Â°,6.20 kg,,,,,,,,,,,,,,,,,,,,,,
"HE195ANB, V320105, Hannspree, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Hanns.G,200 cd/mÂ²,,FCC UL/CUL 3C BSMI CE CB GOST China Energy Level 1,Glossy Black,16.7 Million Colours,"40,000,000:1",185 mm,,,,Eco Mode Security Lock,ENERGY STAR 5.0,Yes,,,,329 mm,,,"Hannspree, Inc",HE195ANB,1366 x 768,1.0,,20 W,,,PC,,HE195ANB,HE195ANB Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,60 Hz,500 mW,,,,Yes,100 x 100,Yes,2.56 kg,444 mm,,,220 V AC 110 V AC,Anti-glare,,,,,,,500 mW,HE,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"C9F26AA#UUZ, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,,Black,16.77 Million Colors,"1,000:1",47.5 mm,,,Yes,Security Lock,ENERGY STAR REACH EPEAT Gold TCO Certified Edge,Yes,Yes,,,294.1 mm,170Â°,3 Year,Hewlett-Packard,C9F26AA#UUZ,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit Monitor VGA Cable DVI Cable Power Cord Printed Documentation And CD,,PC,Business,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",No,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,482 mm,151.10 mm,359.20 mm,220 V AC 110 V AC,Anti-glare,482 mm,,,,,,,Essential,No,,,,,,,,,,,,No,,,,,,,,,,,,,
"B2280WSD-B1, II-B2280WSD-B1, Iiyama, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,iiyama,250 cd/mÂ²,Speaker,CETUV-GSCU,Black,16.7 Million Colours,"1,000:1",244.5 mm,Landscape/Portrait,,Yes,Security Lock,ENERGY STAR TCO Displays 5.0,Yes,Yes,,,553.5 mm,178Â°,3 Year,"iiyama North America, Inc",B2280WSD-B1,1680 x 1050,1.0,2.0,21 W,ProLite B2280WSDPower CableVGA Cable (D-Sub)DVI-D CableAudio CableFootScrewsCable GuideQuick Start GuideSafety Guide2 x Video Cables,,PC Mac,ProLite,B2280WSD,ProLite B2280WSD,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,75 Hz,1 W,,,170Â°,Yes,100 x 100,Yes,5.50 kg,512.5 mm,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,Wall Mountable Desk Mountable,,,,,,,,,,,,,,,,,,,
"C9E49AT#ABU, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,,Black,,"1,000:1",47.5 mm,,,Yes,Security Lock,ENERGY STAR EPEAT Gold TCO Certified Displays REACH WEEE,Yes,Yes,,,315.2 mm,170Â°,3 Year,Hewlett-Packard,C9E49AT#ABU,1920 x 1080,1.0,,28 W,"ProDisplay P221 54,6 cm (21.5'') LED Backlit MonitorAC Power CableVGA CableDVI CablePrinted DocumentationCD-ROM",,,Essential,P221,"ProDisplay P221 54,6 cm (21.5'') LED Backlit Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,,500 mW,,,160Â°,Yes,100 x 100,Yes,4 kg,518 mm,160 mm,379 mm,220 V AC 110 V AC,Anti-glare,518 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60002937, 3967410, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,NEC Display,250 cd/mÂ²,,CEERPTÃV ErgonomicsTÃV GSGEEA/Energy LabelFCC Class BPCT/GostUL/C-UL or CSACCCISO 9241-307 (pixel failure class I),White Silver,16.7 Million Colours,"1,000:1",47.7 mm,,Yes,Yes,,EPEAT Gold MPR II MPR III TCO Displays 5.0 ENERGY STAR,,Yes,,,318.3 mm,176Â°,3 Year,NEC Display Solutions,60002937,1920 x 1080,1.0,,32 W,MultiSync EX231W Widescreen LCD MonitorPower CableUSB CableAC AdapterCD-ROMSales Office ListUser ManualSignal Cable (DVI-A-VGA)Signal Cable (DVI-D - DVI-D),,,MultiSync,EX231W,MultiSync EX231W Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,75 Hz,370 mW,,,170Â°,Yes,100 x 100,,2.80 kg,540.2 mm,215 mm,401 mm,220 V AC 110 V AC,,540.20 mm,,,,,,,,,,,4.10 kg,,,,,,,,,,,,,,,,,,,,,,
"UM.HH6EE.001, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",,,,Yes,Mobile High-Definition Link (MHL) CrystalBrite,EPEAT Gold MPR II,Yes,,,,,178Â°,2 Year,"Acer, Inc",UM.HH6EE.001,1920 x 1080,1.0,,29.03 W,H276HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,,,H276HL,H276HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,60 Hz,450 mW,,,178Â°,,,Yes,,,,,220 V AC 110 V AC,,,,,,,No,400 mW,H,,No,-5Â°to15Â°,,38 kWh,A,,,,,,,,,,,,,,,,,,,,
"223V5LSB2/10, 2788559, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,Philips,200 cd/mÂ²,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,Black,16.7 Million Colours,600:1,50 mm,,,,Security Lock Sync on Green SmartContrast Eco Mode,RoHS EPEAT Silver ENERGY STAR 6.0 WEEE,Yes,,,,316 mm,90Â°,,Philips Electronics,223V5LSB2/10,1920 x 1080,1.0,,15.61 W,,,PC Mac,,223V5LSB2,LCD monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,60 Hz,500 mW,,,65Â°,Yes,100 x 100,Yes,2.35 kg,503 mm,213 mm,376 mm,220 V AC 110 V AC,,503 mm,,,,,,500 mW,V,,,,2.61 kg,,,,,,,,,,,,,,,,,,,,,,
"E4U30AA#ABU, 3100935, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,5:4,LED,HP,250 cd/mÂ²,USB Hub,"ISO 11469 ISO1043 ISO 14001 ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI Approvals KC KCC (Korean) CE Marking FCC Part 15 class B Approval CCC EN55024 Class B CISPR Requirements",,16.7 Million Colours,"3,000,000:1",45.7 mm,,Yes,Yes,Ultra Slim,China Energy Label (CEL) EU RoHS WEEE TCO Certified Displays 6.0 MEPS ErP/EuP Lot 6 TÃV TCO Certified Displays EPEAT Gold EU WEEE ENERGY STAR Eco-label IT Eco Declaration RoHS CECP Korea MEPS,Yes,,,,345.4 mm,178Â°,3 Year,Hewlett-Packard,E4U30AA#ABU,1280 x 1024,1.0,,28 W,EliteDisplay E190i LED Monitor E4U30AA VGA Cable DisplayPort Cable USB Cable Power Cord Warranty Card and CD Monitor Driver (ICM / INF) Software for Automatic Pattern Matching Adobe Acrobat Reader Software HP Display Assistant Software,In-plane Switching (IPS) Technology,PC,Business,E190i,EliteDisplay E190i LED Monitor E4U30AA,LCD Monitor,14 ms,SXGA,"48 cm (18.9"")",,60 Hz,,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,3 kg,416.6 mm,,,230 V AC 120 V AC,Anti-glare Anti-static,,,,,,120 mm,,,,180Â°,-5Â°to25Â°,4.90 kg,,,Wall Mountable Arm-mountable,,,,,,,,,,,,,,,,,,,
