<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
"Buy NEC 19"" AS192WM-BK LED-LCD Monitor, Black Monitors - LED-LCD AS192WM-BK today at PC Connection",EPEAT Silver TCO Displays 6.0 RoHS Energy Star 6.0,Tilt,19 in,0.28 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"LED backlight technology provides for industry-leading low power consumption and less hazardous materials.
Wide-format screen increases productivity by expanding your working area to view multiple application windows.
Ambix dual-input technology allows for digital/analog compatibility with upgraded video cards and software as well as connection to two systems.
Rapid Response technology delivers virtually uninterrupted, undistorted viewing of high-speed, full-motion video.
Energy efficiency is optimized as a result of the display's ""green"" technology.
ECO Mode function helps save power, reduce heat and extend the life of the display by allowing you to dim the backlight.
Intelligent Power Manager (IPM) system and off timer provide innovative power-saving methods and reduce CO2 emissions by shifting to a lower power. consumption level or automatically powering down when the monitor is on but not in use.
100 x 100mm VESA mounting pattern.","Monitor, power cord, vga cable, audio cable, documentation",,,7.30 lb(s),"11.8""h x 17.3""w x 2.5""d",,,,,250 cd/m2,16.7 million colors,HDDB15 Power DVI-D,Power DVI-D VGA,1000:1,LED-backlit LCD,Widescreen,1440 x 900,"(1) DVI-D
(1) HDDB15 VGA
(1) Power in",Consumption: 14W (typ.); 0.4W (power savings mode),5 ms,160/170,,,,,,,,,,,,,Digital Visual Interface (DVI),,,31.5-81.1,56-75,
Buy Peerless 60-61in Plasma Wall Mount with Tilt and Swivel (Bracket Stands & Mounts - AV PS 2 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,For use with plasma screens between 60 inches and 61 inches (measured diagonally),"Mount, hardware, documentation",Wall mount,,24.61 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Benq 27"" GW2760HS Full HD LED-LCD Monitor, Glossy Black Monitors - LED-LCD GW2760HS today at PC Connection",TCO Displays 6.0,Tilt,27 in,0.311 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Glossy black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Ergotron LX Dual Side-by-Side Arm Mount Stands & Mounts - AV 45-245-026 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,,"Max. load capacity: 7-20lbs. per monitor (40lbs. total)
Mounting Standards: VESA FDMI MIS-D, 100/75, C (hole pattern: 100 x 100mm and 75 x 75mm)","(2) LCD arms and extensions, pole, desk clamp and grommet mount, documentation",Desk mount Mounting arm,Dual flat panel,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Tripp Lite DisplayPort Extender Equalizer, Repeater for Video Video Extenders & Splitters B121-000 today at PC Connection",HDCP,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Extend a Displayport signal up to 150 ft. from the source.
When extending a 1920 x 1080 @ 60Hz signal more than 100 ft., use cable made with 24Awg wiring.
Built-in Equalization control to adjust the video image.
Displayport v1.1a compliant.
Compliant with the Federal Trade Agreements Act (TAA) for GSA Schedule purchases.","Extender, external power supply, screwdriver, documentation",Extender,,,,,,,,,,,,,,,,(2) DisplayPort,,,,,,,,,,,,,,,,,,,,,
"Buy Fellowes 22"" Widescreen Privacy Blackout Filter Glare Filters & Privacy Screens 4801501 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,,"22"" W Laptop/Flat Panel Viewable area: 11 11/16"" x 18 11/16""
Viewable area Diagonal: 22""
Fits monitor size: 22"" Widescreen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NDS 20.8"" E3 3MP Dual-Head Monitor with Quadro K600 Monitors - Medical 997-5713-00-2EN today at PC Connection",EN 55011 MIC CE CCC CSA VCCI FCC Class B certified DICOM Part 14,Pivot (rotation) Swivel Tilt Height,20.8 in,.206 mm,,600 nit(s) 1000 nit(s),"Due to manufacturer restrictions, all sales on this item are final.",5 Years,5 Years,Gray,,"(2) Displays, graphics card, documentation",,,14.00 lb(s),"18.7""h x 14.5""w x 4""d (ea.)",,,,,,3061 grayscales,DVI Power USB Type B USB Type A,USB 1.1 DVI Power,900:1,TFT,Standard,1536 x 2048 2048 x 1536,"(1) Dual-Link DVI
(1) USB Type B
(2) USB Type A
(1) Power in","Voltage: 100-240VAC, 50-60Hz single phase
Consumption: 60W (typ.) 72W (max.)",35 ms,170/170,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Elite Economy Electric Projection Screen, White Case, 84in Projector Screens ELECTRIC84V today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Matte White,,"Screen, mounting hardware, documentation",Projection screen (motorized),,,"67.9""h x 78""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Chief Manufacturing Inverted Projector Ceiling Mount for Dell, Stands & Mounts - AV RPA-315 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"For use with Dell 2100MP, 2200MP, 2300MP, 3200MP, 3300MP, 4100MP, HP mp3220, sb21, xb31, Optoma CineShow H30, CineShow H31, EP 731, EP 732, EP 732B, EP732E, EP 732H, EP 737 and Theme Scene H30 projectors","Mount kit, documentation",Ceiling mount,Projector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Lenovo Universal All In One Stand Stands & Mounts - AV 0B47385 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Tilt Range: -25 to 90 degrees.
Display height adjustment of up to 190 mm (7.5 inches).
Rotate 360 degrees VESA mount (100x100mm).
Cable management in the back of the stand.
User adjustment of the weight for particular system.
Stable while small base.","stand, documentation",Stand,PC multimedia,7.70 lb(s),"11.7""h x 10.9""w x 12.8""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Lenovo Easy Reach Monitor Stand Stands & Mounts - AV 55Y9258 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Features and Benefits:
Top plate supports all Lenovo ThinkVision flat-panel monitors and accommodates monitors that weight up to 16kg (35.3lbs) which fit within the width and depth of the Easy Reach Monitor Stand's top plate.
Bottom plate supports the following docking stations with optional pegs: ThinkPad Essential Port Replicator, ThinkPad Advanced Mini Dock, ThinkPad Port Replicator Series 3, ThinkPad Mini Dock Series 3, and ThinkPad Mini Dock Plus Series 3 (Note that pegs may be removed to support notebooks without docking stations or X Series notebooks with UltraBase).
Rear cantilever design ensures easy access under stand from front and sides.","Unit, documentation",Shelf Monitor stand,Monitor,9.00 lb(s),"5.7""h x 16.1""w x 15.7""d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Miracle Business 15"" LCD Monitor with Speaker Monitors - LCD LT15G today at PC Connection",MIC TCO99 GOST CUL FCC CB VESA DPMS CCIB,,15.1 in,0.297 mm,,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M Mechanical Adjust Monitor Arm, Black Stands & Mounts - AV MA100MB today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Max. weight: 18 lbs.
Fits both 75x75 mm and 100x100 mm VESA-D monitor bolt hole patterns.","Mount, hardware, documentation",Mounting arm Desk mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Tripp Lite 2-Port DVI Single Link Splitter Audio and Signal Video Extenders & Splitters B116-002A today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,,"Splitter, mounting hardware, external power supply, documentation",Video splitter Extender,,,,Limited,,,,,,,,,,,,"Connector A: (3) DVI-I (F)
Connector B: (3) 3.5mm Audio(F)","Input: 100-240V, 50/60Hz, 0.5A
Output: 5V, 2A",,,,,,,,,,,,,,,,,"Video graphics card with DVI-D or DVI-I connector
Monitors with DVI-D connections",,,
"Buy Peerless SmartMountLT Articulating Wall Mount for 22""-46"" Stands & Mounts - AV SAL746 today at PC Connection",CULus RoHS,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Powder coat Black,"Fits 22"" to 46"" displays, up to 70 pounds.
Extends display 14.72"" (374mm) from the wall.
Retracts to hold display 2.59"" (66mm) from the wall.
±90° of pivot allows for perfect display positioning.
Quick and easy, Hook-and-Hang one-person installation.
Integrated cable management provides clean, professional installation finish.
Easy leveling ±5° after display installation.
Landscape or portrait mounting options increases display versatility.
Mounts to wood studs, concrete, cinder block or metal studs (metal stud accessory required).
VESA 75, 100, 200 x 100, 200 x 200, 300 x 200, 300 x 300, 400 x 300, and 400 x 400mm compliant.
Installation hardware included.
UL Listed.","Mount, documentation",Wall mount,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 17"" ChassisTouch Capacitive Touchscreen LCD Monitor, USB Monitors - LCD 11-4945-225-00 today at PC Connection",RoHS,,17 in,0.264 mm,,215 cd/m2,,3 Years,3 Years,,,"Monitor, documentation",,,10.10 lb(s),"13.2""h x 16""w x 1.9""d",Limited,,,,,,HDDB15 Power USB,USB VGA Power,350:1,LCD Touch screen,Standard,1280 x 1024,"(1) HDDB15
(1) USB
(1) Power in",Consumption: 20W,,150/135,Touch screen,,,,,,,,,,,,,,,,,PC compatible.
Buy Targus 23.6” Widescreen Privacy Screen (16:9) Glare Filters & Privacy Screens ASF236W9USZ today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Tinted,"Size:
Designed to fit 23.6” widescreen LCD monitors with 16:9 ratio screens.
Functionality:
Protects valuable information by narrowing the viewing angle; onlookers see only a dark screen instead of sensitive information.
Easy to install:
Use included adhesive strips to stick the screen to your LCD or use the included tabs that stick to the outsize frame of the LCD screen.","privacy screen, documentation",Display privacy filter,,13.60 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy ELO Touch Solutions 42"" 4201L Optical Multi-Touch LED-LCD Monitors - Large-Format LED-LCD E107085 today at PC Connection",,,42 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 24"" VN247H-P LED-LCD Monitor Monitors - LED-LCD 90LMGF101T0226UL- today at PC Connection",CCC RoHS GOST-R TCO Displays 6.0 CB EPEAT Gold TCO Displays 5.0 BSMI FCC VCCI C-Tick CUL WHQL,Tilt,23.6 in,0.2715 mm,Yes,250 cd/m2,,3 Years,3 Years,Black,,,,,,,,,,,250 cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 15.4"" Widescreen Notebook Privacy Filter Glare Filters & Privacy Screens PF15.4W today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,,,"Filter, documentation",Display screen filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notebook with 15.4"" screen",,,
"Buy HP Smart Buy 20"" E201 LED-LCD Monitor, Black Monitors - LED-LCD C9V73A8#ABA today at PC Connection",Energy Star,Swivel Pivot (rotation) Height Tilt,20 in,0.276 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Get vibrant text and graphics from the LED backlit panel, which also makes the monitor thin, light, and easy to position on a desk.
Find your most comfortable working position so you can power through your day. Customizable tilt, height adjustment, swivel, and pivot settings—the most adjustability available on an HP business display—help you find your sweet spot.
Reduce power consumption and help lower your costs with an intelligent, energy efficient design that carries ENERGY STAR, EPEAT Gold, and TCO certifications.
100 x 100mm VESA mounting pattern.","Monitor, VGA cable, USB cable, software, CD, documentation",,,,,limited,,,,250 nit(s),,HDDB15 DVI-D DisplayPort Power,DisplayPort VGA Power DVI-D,1000:1,LCD LED-backlit,Widescreen,1600 x 900,"(1) HDDB15 VGA
(1) DVI-D
(1) DisplayPort
(1) Power in",Consumption: 30W (typ.),5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
Buy Belkin Under-Cabinet Mount for Tablets Stands & Mounts - AV F5L100TT today at PC Connection,,,,,,,"This product is subject to our return policy. Please see our complete return policy for details.NOTE: The manufacturer does not permit returns on custom cables or cables with manufacturer part numbers beginning with ""RFQ"".",1 Year,1 Year,,,"Mount, documentation",Mounting kit,Tablet PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Tripod Projection Screen, MaxWhite, 4:3, 120in Projector Screens T120NWV1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,"Projector screen, tripod, case, documentation",,,,,"Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Tripp Lite 4-Port DVI Single Link Splitter Audio and Signal Video Extenders & Splitters B116-004A today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,,"Splitter, mounting hardware, external power supply, documentation",Video splitter Extender,,,,Limited,,,,,,,,,,,,"Connector A: (6) DVI-I (F)
Connector B: (6) 3.5mm Audio(F)","Input: 100-240V, 50/60Hz, 0.5A
Output: 5V, 2A",,,,,,,,,,,,,,,,,"Computer with DVI video and 3.5mm stereo audio connectors
Monitor with a DVI video connector
Monitor with a 3.5mm stereo audio connector; or, a set of speakers with a 3.5mm stereo audio connector",,,
"Buy LG 47.2"" LY340C Full HD LED-LCD TV, Black Televisions - LED-LCD Commercial 47LY340C today at PC Connection",,,,,Yes,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,,,,,,,47 in,2 speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy C2G 4-Port UXGA Monitor Splitter Extender Video Extenders & Splitters 29504 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Gray,,"Splitter, power adapter, documentation",Extender Video splitter,,2.00 lb(s),"0.75""h x 7.25""w x 3.25""d",,,,,,,RJ-45,,,,,,"(5) HDDB15 (4 out, 1 in)",,,,,,,,,,,,,,,,,,"Any system with an HD15 VGA video card
One Male-to-Male HD15 cable (to connect the splitter to a computer) and four Male-to-Male HD15 cables (to connect the splitter to the monitors). Each cable must have UXGA resolution to deliver the true potential resolution of this splitter",,,
