<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"241P4QPYES/00, PHI241P4QPYES, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker USB Hub,Black Silver,"5,000:1",55 mm,220 mm,Yes,Yes,,WEEE TCO Certified Displays 5.2 EPEAT Gold TCO Certified Edge ENERGY STAR RoHS,Yes,352 mm,518 mm,2 Year,Philips Electronics,241P4QPYES/00,1920 x 1080,1,23.40 W,,Brilliance,241P4QPYES,Brilliance 241P4QPYES Widescreen LCD Monitor,LCD Monitor,12 ms,Full HD,"61 cm (24"")",Yes,Yes,3.75 kg,565 mm,565 mm,Yes,PowerSensor,,178°,,2.0,Mac PC,P,Yes,178°,Yes,5.90 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,60 Hz,100 mW,,,100 x 100,,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,USB 2.0,Yes,,,,,,,,,65%,,,,,
"271P4QPJKEB, PHIMON563, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,300 cd/m²,USB Hub Speaker Microphone,Black,"5,000:1",64 mm,242 mm,Yes,Yes,,ENERGY STAR 5.0 TCO Certified Edge EPEAT Gold RoHS WEEE,Yes,405 mm,580 mm,,Philips Electronics,271P4QPJKEB,1920 x 1080,1,27.60 W,,Brilliance,271P4QPJKEB,Brilliance AMVA LCD Monitor LED Backlight with Webcam,LCD Monitor,6 ms,Full HD,"68.6 cm (27"")",Yes,Yes,5.10 kg,639 mm,639 mm,Yes,Security Lock SmartImage Sync on Green Cable Management SmartErgoBase PowerSensor,Yes,178°,,2.0,Mac PC,,Yes,178°,Yes,7.50 kg,Yes,Yes,16.7 Million Colours,,Yes,220 V AC 110 V AC,,0 mW,Advanced-Multi-domain Vertical Alignment (A-MVA),60 Hz,300 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS UL/cUL,,,Yes,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,65%,,,,,
"UM.XV6EE.A03, 8654G57, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,200 cd/m²,,Black,"100,000,000:1",191 mm,,,,,ENERGY STAR MPR II,Yes,353.1 mm,,3 Year,"Acer, Inc",UM.XV6EE.A03,1366 x 768,1,11.90 W,V196HQL Widescreen LCD Monitor1 x VGA CablePower Cord,,V196HQL,V196HQL Widescreen LCD Monitor,LCD Monitor,5 ms,SXGA,"47 cm (18.5"")",,Yes,2.32 kg,447 mm,,Yes,,,90°,,,,V,,65°,Yes,2.72 kg,No,No,16.7 Million Colours,,,220 V AC 110 V AC,No,350 mW,Twisted Nematic Film (TN Film),60 Hz,450 mW,No,-5°to25°,100 x 100,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,
"T48MNUK, S601PR0, Lenovo, LCD Monitor, JR Linton",16:10,LED,Lenovo,250 cd/m²,,Business Black,"1,000:1",171.3 mm,,Yes,Yes,,China RoHS Turkey RoHS MPR II TCO Certified Edge Displays 1.1 CECP RoHS ENERGY STAR 5.1 EPEAT Gold REACH,Yes,397.7 mm,,3 Year,Lenovo Group Limited,T48MNUK,1440 x 900,1,17 W,ThinkVision LT1952p Widescreen LCD MonitorVGA CablesDVI Cables,ThinkVision,LT1952p,ThinkVision LT1952p Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"48.3 cm (19"")",,Yes,4.30 kg,440.9 mm,,Yes,Security Lock,,170°,,,PC,,,160°,Yes,,Yes,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,Safety:KVALITETULCSA /cUlIEC EN60950 CB ReportSEMKONOMSASOTUVCCCGostPSBBSMIKCJEITATUV -SEMI:FCC BICCEVCCIKCANZ SABSBSMICCCErgonomic:GSISO 9241-307VOCe-StandbyCEL Grade 1UL Environment SPC Gold,,,,,,,,,,,,,,,,,,,,,,,,,
"HS241HPB, V320109, Hannspree, LCD Monitor, JR Linton",16:9,LED,Hanns.G,250 cd/m²,Speaker,Black,"80,000,000:1",220 mm,,,Yes,,TCO Certified Displays 6.0 ENERGY STAR China Energy Label (CEL),Yes,399 mm,,3 Year,"Hannspree, Inc",HS241HPB,1920 x 1080,1,,HS241HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper),,HS241HPB,HS241HPB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,4.50 kg,561 mm,,Yes,Eco Mode Security Lock,Yes,178°,Wall Mountable,2.0,PC,HS,Yes,178°,Yes,,,,16.7 Million Colours,Yes,,230 V AC 120 V AC,,,In-plane Switching (IPS) Technology,60 Hz,,,-5°to15°,100 x 100,Anti-glare,FCC UL/CUL CE CB 3C GS,,,,,,,,,,,,,,,,,,,,,,,,,
"VN247H, 2614348, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,250 cd/m²,Speaker,Black,"80,000,000:1",,194.20 mm,,Yes,,RoHS ENERGY STAR EPEAT Gold TCO Certified Displays 6.0,Yes,,394.90 mm,3 Year,ASUS Computer International,VN247H,1920 x 1080,1,35 W,VN247H Widescreen LCD MonitorVGA CableAudio CablePower CordQuick Start GuideHDMI-to-DVI CableWarranty Card,,VN247H,VN247H Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"59.9 cm (23.6"")",,Yes,3.70 kg,,548.60 mm,Yes,Security Lock Video Intelligence Technology MultiScreen Trace Free Technology,Yes,170°,Wall Mountable,2.0,PC,VN,Yes,160°,Yes,,,,16.7 Million Colours,Yes,Yes,,,500 mW,,75 Hz,500 mW,,,100 x 100,Anti-scratch,BSMICBCCCCEC-TickFCCGost-RUL/cULVCCIWHQL,,,,,,,,,,,Yes,,,,,,,,,,,,,,
"19S4LAB5/00, 2905230, Philips, LCD Monitor, JR Linton",5:4,LED,Philips,250 cd/m²,Speaker,Textured Black,"20,000,000:1",61 mm,194 mm,,Yes,,WEEE TCO Certified Displays 6.0 EPEAT Gold RoHS ENERGY STAR 6.0,Yes,346 mm,418 mm,3 Year,Philips Electronics,19S4LAB5/00,1280 x 1024,1,14.30 W,,,19S4LAB5,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,2.80 kg,404 mm,404 mm,Yes,SmartImage SmartContrast Sync on Green TrueVision Eco Mode Security Lock SmartPower,,170°,,2.0,Mac PC,S,Yes,160°,Yes,3.20 kg,,,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,100 mW,,60 Hz,100 mW,,-5°to20°,100 x 100,,BSMI CE cETLus FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS,,,,,,,,,,,,,,,,,,,,,,,,,
"EV2316WFS3-BK, EIZOEV2316WFSBK, Eizo Nanao, LCD Monitor, JR Linton",16:9,,Eizo,250 cd/m²,Speaker USB Hub,Black,"1,000:1",,230 mm,Yes,Yes,,TÜV TCO Certified Displays 6.0 ENERGY STAR,Yes,,480 mm,5 Year,Eizo Nanao Tech,EV2316WFS3-BK,1920 x 1080,1,43 W,"FlexScan EV2316WFS3 Widescreen LCD Monitor Manual in German, English and French Power cable Signal cables (DP-DP and DVI-D-DVI-D) ICC colour profile",FlexScan,EV2316WFS3,FlexScan EV2316WFS3 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",Yes,Yes,5.40 kg,,540 mm,Yes,EcoView Sense EcoView Index EcoView Optimizer Auto EcoView,,170°,,,,EV,Yes,160°,,,Yes,Yes,16.7 Million Colours,Yes,Yes,,140 mm,,Twisted Nematic Film (TN Film),61 Hz,300 mW,172°,-5°to35°,,,CE TÜV GS ISO 9241-307 Class 1,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"PNE802, SHANOT004, Sharp, LCD Monitor, JR Linton",16:9,LED,Sharp,450 cd/m²,Speaker,,"4,000:1",122.2 mm,,,,,,,1093.7 mm,,,Sharp Electronics,PNE802,1920 x 1080,1,270 W,,Professional,PN-E802,Professional PN-E802 Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"203.2 cm (80"")",,Yes,79.02 kg,1868.4 mm,,,Picture in Picture Smart Scheduling,Yes,176°,,2.0,PC,,Yes,176°,Yes,,,,1.06 Billion Colors,Yes,,,,,,,1 W,,,200 x 200,,,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"UM.VH6EE.005, 8654D39, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,Speaker,Black,"100,000,000:1",172.7 mm,,,Yes,,MPR II ENERGY STAR,Yes,403.9 mm,,2 Year,"Acer, Inc",UM.VH6EE.005,1920 x 1080,1,26 W,H236HL Widescreen LCD Monitor1 x VGA CablePower Cord,,H236HL,H236HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,2.90 kg,530.9 mm,,Yes,,Yes,178°,,2.0,,H,Yes,178°,No,3.60 kg,No,No,16.7 Million Colours,,,,No,400 mW,In-plane Switching (IPS) Technology,60 Hz,450 mW,No,-5°to15°,,,,,,,,,,,34 kWh,A,,,,,,,,,,,,,,,,
"VN279QLB, 2798279, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,300 cd/m²,Speaker USB Hub,Black,"100,000,000:1",,225.50 mm,Yes,,,China Energy Label (CEL) ENERGY STAR J-Moss (Japanese RoHS) TCO Certified Displays 6.0 WEEE RoHS,Yes,,526 mm,3 Year,ASUS Computer International,VN279QLB,1920 x 1080,1,35 W,VN279QLB Widescreen LCD Monitor VGA Cable Audio Cable Power Cord USB 3.0 Cable Quick Start Guide Warranty Card,,VN279QLB,VN279QLB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",Yes,Yes,6.10 kg,,619.20 mm,Yes,MultiScreen Security Lock Splendid Video Intelligence Technology Trace Free Technology,Yes,178°,Wall Mountable,2.0,PC,VN,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,Yes,Yes,,,300 mW,,75 Hz,500 mW,,,100 x 100,,EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI,,,No,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"e2370sd, AOCE2370SD, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,,Black,"1,000:1",221 mm,,No,Yes,,RoHS China Energy Label (CEL) CECP EuP EPEAT Gold ENERGY STAR 6.0,Yes,393.3 mm,,3 Year,AOC,E2370SD,1920 x 1080,1,18 W,"e2370Sd 58.4cm (23"") LED MONITOR Power Cable D-Sub Cable DVI-D Cable Driver CD Warranty Card on CD-ROM",Value,e2370Sd,"e2370Sd 58.4cm (23"") LED MONITOR",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",No,Yes,3.27 kg,546.7 mm,,Yes,Screen+ i-Menu e-Saver Security Lock Eco Mode,No,170°,Wall Mountable,,PC,,No,160°,Yes,,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,300 mW,,60 Hz,500 mW,,,100 x 100,,CE FCC GOST ISO 9241-307 NRTL TÜV-GS CCC CB cTUVus BSMI,No,No,,,,,No,,,,,,,,,,,,,,,,,,
"VA951S, B921668, ViewSonic, LCD Monitor, JR Linton",5:4,LED,Viewsonic,250 cd/m²,,,"20,000,000:1",54.9 mm,199.10 mm,,Yes,Click to view,TCO Certified Displays 6.0 RoHS WEEE EPEAT ENERGY STAR 6.0 China Energy Label (CEL),Yes,341.2 mm,402.20 mm,2 Year,Viewsonic Corporation,VA951S,1280 x 1024,1,20 W,"VA951S 19"" 5:4 LED Display with SuperClear Technology Power Cable VGA Cable Quick Start Guide ViewSonic Wizard CD-ROM2",,VA951S,"VA951S 19"" 5:4 LED Display with SuperClear Technology",LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,2.71 kg,416.2 mm,416.20 mm,,,,,,,,VA,,,Yes,3.02 kg,,,16.7 Million Colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VX238T, 2598782, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,250 cd/m²,Speaker,Black,"8,000,000:1",,210 mm,,Yes,,RoHS ENERGY STAR,Yes,,402.70 mm,3 Year,ASUS Computer International,VX238T,1920 x 1080,1,34 W,,,VX238T,VX238T Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,2.60 kg,,548.20 mm,Yes,Security Lock Ultra Slim Splendid Video Intelligence Technology,,170°,,2.0,PC,VX,Yes,160°,,,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,,500 mW,,,,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCICEL,,,,,,,,,,,,,,,,,,,,,,,,,
"EV2436WFS3-BK, EIZOEV2436WFSBK, Eizo Nanao, LCD Monitor, JR Linton",16:10,LED,Eizo,300 cd/m²,USB Hub,Black,"1,000:1",57 mm,233 mm,Yes,Yes,,TCO Certified Displays 6.0 China RoHS EPEAT Gold TÜV Rheinland WEEE RoHS EPA ENERGY STAR,Yes,358 mm,499 mm,5 Year,Eizo Nanao Tech,EV2436WFS3-BK,1920 x 1200,1,60 W,"FlexScan EV2436W, 24"" LED IPS C Power Cord Signal Cables (DVI-D - DVI-D, DisplayPort - DisplayPort) EIZO LCD Utility Disk Setup Guide",FlexScan,EV2436W,"FlexScan EV2436W, 24"" LED IPS",LCD Monitor,6 ms,WUXGA,"61.2 cm (24.1"")",Yes,Yes,4.10 kg,552.5 mm,552.50 mm,Yes,Auto EcoView Eye-Care EcoView Sense Picture in Picture Flicker-free EcoView Optimizer OverDrive,,178°,,2.0,,,Yes,178°,,6.40 kg,Yes,Yes,16.77 Million Colors,Yes,,220 V AC 110 V AC,140 mm,,In-plane Switching (IPS) Technology,76 Hz,300 mW,344°,5°to35°,,,TUV/Ergonomics (including ISO9241-307) TUV/GS c-Tick CE CB cTUVus FCC-B Canadian ICES-003-B TUV/S VCCI-B CCC GOST-R,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"23MP65HQ-P, 2998248, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,250 cd/m²,,,"1,000:1",326 mm,426 mm,,,,,,68 mm,188 mm,,LG Electronics,23MP65HQ-P,1920 x 1080,1,21 W,,,23MP65HQ-P,23MP65HQ-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,2.60 kg,533 mm,533 mm,,Smart Resolution Technology Sleep Timer Dual-screen Display Dual Web Flicker-free Reading Mode,Yes,178°,,,,,,178°,Yes,3 kg,,Yes,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,300 mW,,,75 x 75,,,,,,,,,,,,,,,,,,,,,,,,,,,
"274E5QDAB/00, 2974036, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,Speaker,Glossy Black Cherry,"20,000,000:1",46 mm,237 mm,,Yes,,RoHS EPEAT Silver TCO Certified Displays 6.0 ENERGY STAR 6.0 WEEE,Yes,375 mm,470 mm,,Philips Electronics,274E5QDAB/00,1920 x 1080,1,22.15 W,,Ultra Narrow Bezel,274E5QDAB,LCD Monitor with SmartImage Lite,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",,Yes,4.88 kg,622 mm,622 mm,Yes,Sync on Green Security Lock Ultra Slim SmartImage Lite TrueVision Mobile High-Definition Link (MHL),Yes,178°,Wall Mountable,2.0,Mac PC,,Yes,178°,Yes,5.10 kg,,Yes,16.77 Million Colors,Yes,Yes,220 V AC 110 V AC,,300 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,60 Hz,500 mW,,-5°to20°,100 x 100,Glossy,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307,,,No,,,,,,,,,,,,,,Landscape/Portrait,No,,,,,,,
"E1659FWU, 2861372, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,200 cd/m²,,Glossy Piano Black,500:1,,23 mm,,,,,,,234 mm,,AOC,E1659FWU,1366 x 768,1,8 W,,,E1659FWU,E1659FWU 16-Inch Class USB-Powered Monitor,LCD Monitor,8 ms,HD,"40.6 cm (16"")",Yes,,1.09 kg,,375 mm,Yes,Ultra Slim,,90°,Arm-mountable Wall Mountable,,PC Mac,,No,50°,Yes,,,Yes,16.7 Million Colours,,,,,,,,1 W,,15°to30°,75 x 75,,,,,,,,,,,,USB 3.0,,,,,,,Landscape/Portrait,,,,,,,,
"857-10594, Dell, LCD Monitor, JR Linton",5:4,LED,Dell,250 cd/m²,,Black,"1,000:1",52 mm,163.50 mm,,,,TCO Certified Displays ENERGY STAR EPEAT Gold China Energy Label (CEL),Yes,336.7 mm,408.60 mm,3 Year,"Dell, Inc",857-10594,1280 x 1024,1,22 W,E-series E1913S 19'' (48cm) Std LED Monitor VGA Only (1280x1024) Black VGA Cable Stand Power Cable Drivers and Documentation Media Quick Setup Guide Safety Information,,E1913S,E-series E1913S 19'' (48cm) Std LED Monitor VGA Only (1280x1024) Black,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,Yes,2.79 kg,411.9 mm,411.90 mm,Yes,Security Lock,,170°,,,,E,,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,60 Hz,500 mW,,,100 x 100,Anti-glare,EMC,,,,,,,,,,,Yes,,,,,,,,,25%,,,,,
"VH228DE, 2829000, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,200 cd/m²,,Black,"50,000,000:1",,220 mm,No,No,,ENERGY STAR 5.0 WEEE J-Moss (Japanese RoHS) RoHS ErP China Energy Label (CEL) EuP,Yes,,405 mm,3 Year,ASUS Computer International,VH228DE,1920 x 1080,1,39 W,VH228DE Widescreen LCD Monitor VGA Cable Power Cord Quick Start Guide Support CD Warranty Card,,VH228DE,VH228DE Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,Yes,3.90 kg,,515 mm,Yes,Security Lock Smart View Splendid Video Intelligence Technology,No,90°,Wall Mountable,,PC,,No,65°,Yes,,No,No,16.7 Million Colours,,,,,1 W,,76 Hz,1 W,,,100 x 100,,BSMI CB CCC CE C-Tick FCC Gost-R PSB UL/cUL VCCI,,,No,No,No,No,,,,,,,,,,,,,,,,,,,
"SX-17P, AG Neovo, LCD Monitor, JR Linton",,,AG Neovo,250 cd/m²,Speaker,,"1,000:1",175 mm,,,Yes,,REACH WEEE RoHS,Yes,398 mm,,,AG Neovo Technology Corporation,SX-17P,1280 x 1024,1,31.99 W,SX-17P LCD MonitorPower CordPower Adapter15-Pin DSub CableWire HookCD-ROM (User Manual and Drivers),,SX-17P,SX-17P LCD Monitor,LCD Monitor,3 ms,SXGA,"43.2 cm (17"")",,Yes,6.70 kg,409 mm,,,,,170°,Wall Mountable,2.0,,,Yes,160°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,85 Hz,990 mW,,,100 x 100,,UL/CULCBFCCCEBSMIIP22 (IEC60529 Standard),,,,,,,Yes,,,,,,,,,,,,,,,,,,
"K9601637, 2913251, Barco, LCD Monitor, JR Linton",4:3,,Barco,1000 cd/m²,USB Hub,,900:1,114 mm,249 mm,,Yes,,RoHS,Yes,382 mm,532 mm,5 Year,Barco,K9601637,2048 x 1536,1,54 W,3 MegaPixel Diagnostic Grayscale Display SystemMain CablesGetting Started GuideQuick-Installation SheetVideo Cable (DVI Dual Link)External Power SupplyMediCal QAWeb Software,Nio,E-3620 MA,3 MegaPixel Diagnostic Grayscale Display System,LCD Monitor,50 ms,QXGA,"52.8 cm (20.8"")",Yes,,,488 mm,488 mm,,,,170°,,,,,,170°,Yes,11.50 kg,,Yes,1024 Gray Levels (10-bit),,,,,,In-plane Switching (IPS) Technology,,,,,100 x 100,Anti-reflective,"CSA C22.2 NO. 60950-1-03 1ST EditionUL 60601-1 1ST EditionCAN/ CSA-C22.2 NO. 601.1-M90UL 60950-1 1ST EditionIEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995IEC 60950-1:2001 1ST EditionCE - 2004/108/ECCE - 93/42/EC, A1:2007/47/EC CLASS IIBDEMKO - EN 60601-1DEMKO - EN 60950-1CCC - GB9254-1998 + GB4943-2001 + GB17625.1-2003VCCIFCC Class BBSMIKETIFDA 510K",,,,,,,,,,USB 1.1,,,,,,,Landscape/Portrait,,,,,,,,
"VA2246-LED, B921454, ViewSonic, LCD Monitor, JR Linton",,LED,Viewsonic,,,,,,,,Yes,,,,,,,Viewsonic Corporation,VA2246-LED,1920 x 1080,1,,,,VA2246-LED,VA2246-LED LCD Monitor,LCD Monitor,5 ms,Full HD,"55.9 cm (22"")",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"241B4LPYCB/00, 2542513, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,USB Hub Speaker,Black,"1,000:1",55 mm,227 mm,Yes,Yes,,WEEE TCO Certified Displays 5.2 RoHS TCO Certified Edge EPEAT Gold ENERGY STAR 5.0,Yes,352 mm,403 mm,,Philips Electronics,241B4LPYCB/00,1920 x 1080,1,21.44 W,,Brilliance,241B4LPYCB,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,Yes,4.30 kg,565 mm,565 mm,Yes,Security Lock SmartImage SmartErgoBase PowerSensor,,170°,,2.0,PC Mac,B,Yes,160°,Yes,6.30 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,,,60 Hz,100 mW,,,100 x 100,,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,65%,,,,,
"B5M13AA#ABT, HP, LCD Monitor, JR Linton",16:9,LED,HP,200 cd/m²,Speaker,Black,600:1,47.8 mm,170 mm,,Yes,,China Energy Label (CEL) EPA EPEAT CECP ENERGY STAR REACH,Yes,299 mm,356.60 mm,1 Year,Hewlett-Packard,B5M13AA#ABT,1600 x 900,1,26 W,W2072a 20 inch Diagonal LCD Monitor VGA Cable Audio Cable Power Cord,Business,W2072a,W2072a 20 inch Diagonal LCD Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,477.3 mm,477.30 mm,Yes,Security Lock,,90°,,,PC,Value,Yes,50°,,,No,,16.77 Million Colors,Yes,,220 V AC 110 V AC,,,,76 Hz,500 mW,,,,Anti-glare,CE FCC C-Tick VCCI BSMI CB TUV-BAUART TUV-S ISO9241-307 CSA CCC CSC Korea e-standby SEPA,,,Yes,,,,,,,,,,,,,,,,,,,,,,
"LS24C65UPC/EN, 2773807, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,250 cd/m²,USB Hub Speaker,Matte Black,"1,000:1",55.5 mm,224 mm,Yes,Yes,,Eco-label EPEAT Gold ENERGY STAR TCO Certified Displays,Yes,330.5 mm,487.35 mm,3 Year,Samsung,LS24C65UPC/EN,1920 x 1080,1,,"23.6"" S24C650PL Series 6 LED Business Monitor USB Cable 1.5 m Power Cable Length E-manual Installation CD Quick Setup Guide D-Sub Cable",,S24C650PL,"23.6"" S24C650PL Series 6 LED Business Monitor",LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",Yes,Yes,3.75 kg,554.6 mm,554.60 mm,Yes,Mobile High-Definition Link (MHL) Eco Saving MagicBright 3 MultiScreen MagicRotation MagicTune Off Timer,Yes,178°,Wall Mountable,2.0,PC,650,Yes,178°,Yes,5.45 kg,Yes,Yes,16.7 Million Colours,,,220 V AC 110 V AC,,,AD-PLS Technology,,,,,100 x 100,,"CSA (Canada) CSA C22.2 No. 60950-1 UL (USA): UL 60950 1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (U.S.) FCC Part 15 Subpart B class of A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea) KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC (China ): GB 9254-2008, GB 17625.1-2003",,,,,,,,,,USB 2.0,Yes,Plastic,,,,,,,,,,,,,
"232E2SB/00, Philips, LCD Monitor, JR Linton",16:9,,Philips,300 cd/m²,,Glossy Black,"5,000,000:1",62 mm,225 mm,,Yes,,,Yes,360 mm,435 mm,,Philips Electronics,232E2SB/00,1920 x 1080,1,32 W,,,232E2SB,232E2SB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,4.19 kg,566 mm,566 mm,Yes,,,176°,,,PC Mac,E,,170°,Yes,4.57 kg,,,16.7 Million Colours,Yes,,,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMIGOSTCE MarkFCCClass BUL/ cUL,,,,,,,,,,,Yes,100%,,,,,,,,,,,,,
"C9F26AA#ABM, HP, LCD Monitor, JR Linton",16:9,LED,HP,250 cd/m²,,Black,"3,000,000:1",47.5 mm,151.10 mm,,Yes,Click to view,TCO Certified Edge ENERGY STAR,Yes,294.1 mm,359.20 mm,3 Year,Hewlett-Packard,C9F26AA#ABM,1600 x 900,1,22 W,ProDisplay P201 20-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted Documentation and CD,ProDisplay,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",,Yes,3.50 kg,482 mm,482 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
