<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
IIyama 27 PL B2780HSU-W2 MONITOR LED,,"43,8 cm",,Si 1,Si,170°,160°,Kensington,"Audio (3.5mm), DVI, USB","CE, TCO 6, TUV",Si,Non specificato,Bianco,"16,77M",100 x 100 mm,,,37W,,1W,,,,"68,58 cm (27"") 69 cm","0,3113 x 0,3113 mm",,16:9,No,50/60 Hz,,,,Si,-4 - 20°,Si,,"64,2 cm",,,300 cd/m²,,1080p,Si,2.0,8 kg,,,Si,2W,25 cm,,1.0,4.0,,1.0,1000:1,5000000:1,11 cm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,,,,TN,1 ms,,,LED,Full HD,,100 - 240V,,,,,,,,,,Argento,Si,1.0,,,,,Si,,,,,,Si,,-90 - 90°,,,56 - 75 Hz,9.0,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64","DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG LED 19.5 HL205DPB,,"34,07 cm",,,Si,170°,160°,,"AC, Audio (3.5mm), VGA","TCO6.0, GS, CB",Si,Non specificato,Nero,"16,77M",100 x 100 mm,N,,,"0,5W","0,5W",,,,"49,53 cm (19.5"") 49,53 cm","0,27 x 0,27 mm",,16:9,N,50/60 Hz,30 - 82 kHz,55 - 76 Hz,,Si,5 - 20°,Si,,"45,73 cm",,,250 cd/m²,,,Si,2.0,"2,7 kg",,,Si,2W,"16,93 cm",,,,,1.0,1000:1,80000000:1,,1600 x 900 Pixels,1600 x 900,,N,,,,5 ms,,W-LED,LED,,,100 - 240V,,,,,,,,,,,Si,1.0,38 cm,,,,Si,Si,,0 - 40 °C,"50,6 cm",,Si,,,"11,2 cm",20 - 85%,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"DEU, DUT, ENG, ESP, ITA, JPN, KOR, POR, RUS, SCR",,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 23.6 PL E2482HS-1 MONITOR LED,,401 mm,,,Si,170 °,160 °,Kensington,,,Si,Non specificato,Nero,16.77 M,100 x 100 mm,,,,,,,521.28 mm,293.22 mm,"60 cm 599.4 mm (23.6 "")",0.2715 x 0.271 mm,,16:9,N,50/60 Hz,,,,Si,-4 - 21 °,Si,,571.5 mm,,,300 cd/m²,,,Si,2.0,4.3 kg,,,Si,2 W,213.5 mm,,1.0,,,1.0,1000:1,5000000:1,N,1920 x 1080 Pixels,,,N,.,,TN+Film,2 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,56 - 75 Hz,,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 21.5 AOC i2267Fwh,Si,,375.6 mm,,Si,178 °,178 °,,AC,"FCC, cTUVus, CE/CB, CCC, TUV-GS, BSMI, TCO 6.0, ISO 9241-307, EPA, Ghost, Ukraine, Win7, CEL, KC/KCC/Eup/VCCI/MPRII/REACH/CTICK/E-STANDBY/ckt/PSE/J-MOSS",Si,Non specificato,"Nero, Argento",16.77 M,,,,40 W,,0.5 W,,,,"54.62 cm 546.1 mm (21.5 "")",0.24795 x 0.24795 mm,,16:9,N,50/60 Hz,,,,Si,-5 - 23 °,,Si,498.3 mm,498.3 mm,,250 cd/m²,,1080p,Si,,3.48 kg,,,,,,120.6 mm,2.0,,,1.0,,50000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,IPS,5 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,,,,,,,,,,,,Si,5.2 kg,,,,55 - 75 Hz,16.0,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 23.6 VN247H MONITOR LED,Si,,394.9 mm,1,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), HDMI-DVI, VGA","BSMI, CB, CCC, CE, C-Tick, FCC, Gost-R, RoHS, TCO5.0, TCO6.0, UL/cUL, VCCI, WHQL",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,35 W,0.5 W,0.5 W,,,,"59.9 cm 599.4 mm (23.6 "")",0.2715 x 0.2715 mm,,16:9,N,,24 - 83 kHz,50 - 75 Hz,,Si,-5 - 20 °,Si,Si,548.6 mm,548.6 mm,,250 cd/m²,,1080p,Si,2.0,,5.8 kg,,,4 W,,194.2 mm,2.0,,,1.0,,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,1 ms,N,,LCD,Full HD,,,,,,,,,,,,Oro,,,478 mm,,,,Si,Si,,,602 mm,Si,,3.7 kg,,128 mm,,50 - 75 Hz,,24 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",,,,,1 pezzi,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,
Asus LED 27 PA279Q IPS MONITOR LED,,379.68 mm,559.84 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), DisplayPort, DVI, HDMI, Mini DisplayPort, USB","BSMI, CB, CCC, CE, CEL level 2, C-Tick, CU, ErP, FCC, J-MOSS, PSE, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UkrSEPRO, UL/cUL, VCCI, WEEE, WHQL",Si,Non specificato,Nero,1073.7 M,100 x 100 mm,N,3.5 mm,49 W,,,,,,"68.47 cm 685.8 mm (27 "")",0.233 x 0.233 mm,,16:9,N,50/60 Hz,29 - 113 kHz,49 - 86 Hz,Si,Si,-5 - 20 °,Si,,640.78 mm,640.78 mm,Si,350 cd/m²,,,Si,2.0,10 kg,14 kg,,Si,6 W,69.5 mm,240 mm,1.0,,6.0,,,100000000:1,Si,2560 x 1440 Pixels,2560 x 1440,Si,N,.,,IPS,6 ms,N,,LED,,,100 - 240 V,N,N,N,,,,,,"Memory Stick (MS), MMC, MS PRO, MS PRO Duo, MS Pro-HG, MSXC, SD, SDHC, SDXC",Oro,Si,1.0,456 mm,,,,Si,,Si,,756 mm,,,,,300 mm,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 23 VS239HV IPS MONITOR LED,,334 mm,400.3 mm,,,178 °,178 °,Kensington,,,,Non specificato,Nero,16.77 M,100 x 100 mm,,,22 W,1 W,1 W,,,,"584.2 mm (23 "") 58.4 cm",0.2652 x 0.2652 mm,,16:9,,50/60 Hz,,,,Si,,,,552.8 mm,552 mm,,250 cd/m²,,1080p,Si,,3.5 kg,5.9 kg,,Si,,45 mm,200 mm,1.0,,,1.0,,80000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,.,,IPS,5 ms,,,LED,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,460 mm,,,,,,,,608 mm,,,,,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 23.8 i2473Pwm IPS MONITOR LED,,"18,26 cm",,1,Si,178°,178°,Kensington,AC,,Si,Non specificato,Nero,"16,77M",,No,,25W,,"0,5W",,,,"60,5 cm 60,45 cm (23.8"")","0,2745 x 0,2745 mm",,16:9,No,50/60 Hz,,,,Si,-5 - 15°,,,"54,71 cm",,,250 cd/m²,Si,,,2.0,"4,12 kg","6,46 kg",,No,,"40,86 cm",,2.0,,,1.0,1000:1,50000000:1,No,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,Si,,,Si,,,,Si,,,,,,,,,,,,,,,,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 24 PL X2483HSU,,412 mm,,,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), DVI, USB, VGA","TCO, CE, TÜV-GS, VCCI-B, PSE, CU",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,27 W,,0.5 W,,531.4 mm,298.9 mm,"609.6 mm (24 "")",0.277 x 0.277 mm,,16:9,N,,,,,Si,-5 - 22 °,Si,,565.5 mm,,,250 cd/m²,,,Si,2.0,3.3 kg,,,Si,4 W,203 mm,,1.0,2.0,,1.0,3000:1,5000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,A-MVA,4 ms,N,,LED,Full HD,Si,,N,N,N,,,,,,,,Si,1.0,,,,,Si,,Si,,,,,,,,,55 - 75 Hz,10.0,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,"CHI (SIMPL), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 22 S22D300HY LED MONITOR LED,,"31,08 cm","38,52 cm",,No,90°,65°,,VGA,,,Non specificato,Nero,"16,77M",,No,,22W,,"0,3W",,,,"54,61 cm (21.5"")",,,16:9,No,50/60 Hz,,,,,,,,"51,16 cm","51,16 cm",,200 cd/m²,,,,,"2,6 kg","3,95 kg",,No,,"5,31 cm","17,7 cm",1.0,,,1.0,600:1,,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,5 ms,No,,LED,Full HD,,100 - 240V,,,,Si,,,,,,,,,"37,7 cm",,,,,,,,"57,3 cm",,Si,"2,85 kg",,"11,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
ASUS MONITOR LED 23 ASUS PA238Q IPS,Si,495.7 mm,,1,,178 °,178 °,Kensington,"AC, AV, DisplayPort, DVI, USB, VGA","UL/cUL, CB, CE, ErP, FCC(Class B), CCC, BSMI, Gost-R, C-Tick, VCCI, TCO5.2, TUV-GS, TUV-Ergo, ISO-9241-307, PSB, J-MOSS, RoHS, WEEE",Si,,Nero,16.77 M,100 x 100 mm,N,3.5 mm,33 W,,,584 mm,,,"584.2 mm (23 "")",0.2652 x 0.2652 mm,,16:9,N,,24 - 83 kHz,50 - 75 Hz,,Si,-5 - 20 °,,,548.8 mm,,,250 cd/m²,,,Si,,5.5 kg,7.8 kg,,,,201 mm,,1.0,5.0,,1.0,,50000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,,6 ms,N,,,Full HD,,,,,,,,,,,,,,1.0,386 mm,0 - 180 °,,,Si,,Si,,671 mm,,,,,253 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,Si,,,,,,,,,,,,,,,1 W,,,,,,,,,,,,,,,,,,,,671 x 253 x 386 mm,,,
Iiyama LED 27 PL B2780HSU-B2 MONITOR LED,,"43,8 cm",,1,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, USB, VGA",,,Non specificato,Nero,"16,77M",100 x 100 mm,N,3.5 mm,37W,,1W,,"33,62 cm","59,76 cm","68,58 cm (27"")","0,3113 x 0,3113 mm",,16:9,N,50/60 Hz,24 - 80 kHz,56 - 75 Hz,Si,Si,-4 - 22°,Si,,"64,2 cm",,,300 cd/m²,,,Si,2.0,8 kg,,,,4W,25 cm,,1.0,4.0,,1.0,1000:1,5000000:1,11 cm,1920 x 1080 Pixels,"1280 x 1024 (SXGA), 1920 x 1080 (HD 1080)",Si,,,N,TN+Film,1 ms,,,LCD,Full HD,,100 - 240V,N,N,N,,,,,,,Argento,Si,1.0,,-170 - 170°,,,Si,,,,,,Si,,0 - 90°,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER LED 21.5 B226HQLAmdr,Si,518.2 mm,,,Si,178 °,178 °,,"AC, DVI, VGA",,Si,Non specificato,Grigio,16.77 M,,N,,19.5 W,0.25 W,0.35 W,,,,"546.1 mm (21.5 "") 54.6 cm",,,16:9,N,,,,,,,,,508 mm,,,250 cd/m²,,,,,3.17 kg,5.81 kg,,Si,,221 mm,,,,,1.0,,100000000:1,Si,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,8 ms,N,,LCD,Full HD,,110 - 220 V,,,,,,,,,,,,,,,,,,Si,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS LED 24.1 PA248Q IPS VGA.DVI.HDMI MONITOR LED,Si,362.8 mm,416.3 mm,1,,178 °,178 °,Kensington,"AC, DisplayPort, DVI, USB, VGA","TCO 5.2, UL/cUL, CB, CE, ErP, FCC, CCC, TUV-GS, TUV-ERGO, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSB, NOM, J-MOSS, Windows 7 WHQL, Mac Compliance",Si,,Nero,16.77 M,100 x 100 mm,,3.5 mm,75 W,,,,,,"61.13 cm 612.1 mm (24.1 "")",0.27 x 0.27 mm,,16:10,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,Si,-5 - 20 °,,Si,557.2 mm,557.2 mm,,300 cd/m²,,,Si,,6.4 kg,9.9 kg 9.9 kg,,,,62 mm,235 mm,1.0,,5.0,1.0,,80000000:1,,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,,.,,IPS,6 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,439 mm,,,,Si,Si,,,681 mm,Si,,,,292 mm,,,,,,1.0,,,RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,Si,,1 pezzi,Si,Orizzontale/Verticale,,,,,,,,,,,,,,1 W,Si,1920 x 1200 Pixels,,,,,,,,,,,,,,,,,,,,,
IIyama 21.5 PL E2273HDS-B1 MONITOR LED,,,39 cm,,Si,170°,160°,Kensington,"DVI, VGA",,Si,,Nero,"16,77M",100 x 100 mm,,,24W,"0,5W",,55 cm,,,"54,61 cm (21.5"")","0,248 x 0,248 mm",,16:9,No,50/60 Hz,,,,Si,5 - 20°,,,"56,05 cm","56,05 cm",,250 cd/m²,,,Si,2.0,,,Si,,2W,,"17,8 cm",1.0,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,No,,,,2 ms,No,,,Full HD,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,,"3,3 kg",,,,55 - 75 Hz,8.0,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,"Windows 2000, Windows 2000 Professional, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 98SE, Windows ME, Windows Vista Business","CHI (TR), DEU, ENG, ESP, FIN, FRE, ITA, JPN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER LED 22 B226WLwmdr Wide MONITOR LED,,333.1 mm,534.1 mm,,Si,170 °,160 °,,,,,Non specificato,Bianco,16.77 M,100 x 100 mm,,,17.2 W,0.35 W,0.45 W,,,,"55.9 cm 558.8 mm (22 "")",,,16:10,N,,,,,Si,,,,505.8 mm,505.8 mm,,250 cd/m²,,,Si,,3.09 kg,,,Si,,52 mm,221.2 mm,,,,1.0,,100000000:1,Si,1680 x 1050 Pixels,,Si,N,.,,,5 ms,N,,LCD,,,110 - 220 V,,,,,,,,,,Oro,,,,,,,,,,,,,,5.75 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 27 AOC d2769Vh IPS,Si,449 mm,,,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), HDMI, VGA","CE, EuP, FCC, GOST, RoHS, TCO 5.0, TÜV-Bauart, ISO 9024-307, NRTL",Si,Non specificato,"Nero, Argento",16.77 M,N,Si,,35 W,0.5 W,0.5 W,,597.89 mm,336.31 mm,"68.6 cm 685.8 mm (27 "")",0.311 x 0.311 mm,,16:9,N,50/60 Hz,,,N,Si,-5 - 15 °,Si,Si,622 mm,,,250 cd/m²,,,N,,4.99 kg,7.23 kg,,N,,130 mm,,2.0,,,1.0,1000:1,50000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,,,5 ms,N,,LED,Full HD,,90 - 240 V,,,,,,,,,,,,,,,,,,Si,,,,Si,,,,,,50 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC MONITOR LED 19 AOC e960Srd,,405.1 mm,,,N,170 °,160 °,Kensington,AC,CE cTUVus EuP FCC GOST ISO 9241-307 RoHS TЬV-GS TCO 5.0,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,22 W,,0.3 W,,,,"482.6 mm (19 "") 48.3 cm",0.294 x 0.294 mm,,5:4,N,50/60 Hz,,,,N,,,,409.2 mm,,,250 cd/m²,,,Si,,2.85 kg,,,,,210 mm,,,,,1.0,1000:1,20000000:1,N,1280 x 1024 Pixels,1280 x 1024 (SXGA),,N,.,,,5 ms,N,W-LED,LED,N,,90 - 240 V,,,,,,,,,,Argento,,1.0,,,,,,,,,,,,,,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 22 B2280WSD-B1 5ms.VGA.DVI MONITOR LED,,423.5 mm,,,Si,178 °,170 °,Kensington,,,Si,,Nero,16.77 M,100 x 100 mm,N,,21 W,,,,473.7 mm,296.1 mm,"558.8 mm (22 "")",0.282 x 0.282 mm,,16:10,N,50/60 Hz,,,,Si,-5 - 22 °,,,512.5 mm,,,250 cd/m²,,,Si,2.0,5.5 kg,,,,2 W,244.5 mm,,,,,1.0,1000:1,5000000:1,130 mm,1680 x 1050 Pixels,,Si,N,.,,TN+Film,5 ms,N,,LCD,N,,100 - 240 V,,,,,,,,,,,,1.0,,-160 - 160 °,,,,,,,,,,,0 - 90 °,,,55 - 75 Hz,,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 22 E2210PM-SN silver 5ms MONITOR LED,,"33,3 cm","36,8 cm",1,Si,170°,160°,,,,,,Nero,"16,77M",,No,,30W,"0,15W","0,2W",,,,"55,88 cm (22"")",,,16:10,No,,,,,Si,-4 - 16°,,,"50,6 cm","50,6 cm",,250 cd/m²,,,,,"3,1 kg",,Si,,2W,6 cm,21 cm,,,,1.0,1000:1,5000000:1,11 cm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,No,,,,5 ms,No,,,HD-Ready,,,,,,,,,,,,,,1.0,,0 - 90°,,,,Si,,,,Si,Si,"4,2 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 19.5 VK207S 5ms.VGA MONITOR LED,,,355.5 mm,,Si,170 °,160 °,Kensington,"USB, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, RoHS, TCO5.0, UL/cUL, VCCI, WEEE, WHQL",Si,Non specificato,Nero,16.77 M,75 x 75 mm,,,25 W,0.5 W,,,,,"495.3 mm (19.5 "") 49.5 cm",0.270 x 0.270 mm,,16:9,Si,50/60 Hz,,,,N,-5 - 20 °,Si,,,468 mm,,250 cd/m²,,,Si,2.0,,4.04 kg,,,2 W,,185 mm,,1.0,,1.0,,80000000:1,,1600 x 900 Pixels,1600 x 900,,,.,,,5 ms,N,,LED,,,100 - 240 V,,,,,,,,,,Oro,,,412 mm,,,,Si,,,,530 mm,,,2.64 kg,,115 mm,,55 - 75 Hz,,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,0.5 W,,,,,,,,,,,,,,,,,,,1 MP,,,,
LG LED 24 24MB65PM-W IPS 16:10 5ms VGA DVI Speaker MONITOR LED,,"39,5 cm",,1,Si,178°,178°,,,,,Non specificato,Bianco,"16,77M",,No,,,,,,,,"60,96 cm (24"") 61 cm",,,16:10,No,,,,Si,Si,,Si,,"55,8 cm",,,250 cd/m²,,,Si,2.0,"5,4 kg",,Si,Si,2W,"23,9 cm",,,,,,1000:1,,,1920 x 1200 Pixels,1920 x 1200 (WUXGA),Si,No,,,IPS,5 ms,,,LED,Full HD,,,,,,,,,,,,,,1.0,,15 - 68°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 22 22MB65PY-B MONITOR LED,,,"37,9 cm",,Si,170°,160°,,"AC, Audio (3.5mm), DVI, VGA",,Si,Non specificato,Nero,"16,77M",,,,21W,"0,3W","0,4W",,"47,386 cm","29,616 cm","55,88 cm 55,88 cm (22"")","0,282 x 0,282 mm",,16:10,No,47-63 Hz,30 - 83 kHz,56 - 75 Hz,,Si,,,,,"50,6 cm",,250 cd/m²,,,Si,2.0,,,,Si,2W,,"23,9 cm",,1.0,,1.0,1000:1,5000000:1,Si,1680 x 1050 Pixels,,Si,No,,,TN,5 ms,No,,LED,,,90 - 264V,,,,,,,,,,,Si,1.0,,,,,,,,,,,Si,"4,7 kg",,,,,14.0,,,1.0,Nero,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HannsG 23.6 HW246HBB MONITOR LED,Si,143.2 mm,,,,170 °,160 °,Kensington,VGA,"CE, ErP, CB, 3C, China Energy Level 1",Si,Non specificato,Nero,16.77 M,,,,22 W,0.5 W,0.5 W,,,,"60 cm 599.4 mm (23.6 "")",0.271 x 0.271 mm,,16:9,N,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,,-1.5 - 18.5 °,Si,,558.7 mm,,,250 cd/m²,,,,,5.1 kg,,,,,406.8 mm,,1.0,,,1.0,1000:1,40000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,,,,5 ms,,,LED,Full HD,,100 - 240 V,,,,,,,,,,,Si,,,,,,Si,,,5 - 35 °C,,,Si,,,,20 - 85 %,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows 8,"DEU, DUT, ENG, ESP, FRE, ITA, JPN, KOR, POR, RUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,
