authors,title,venue,year
s saltenis c jensen,indexing of nowrelative spatiobitemporal data,vldb j,2002.0
a marathe k salem,query processing techniques for arrays,vldb j,2002.0
g mihaila l raschid a tomasic,locating and accessing data repositories with websemantics,vldb j,2002.0
p grefen j vonk p apers,global transaction support for workflow management systems from formal specification to practical implementation,vldb j,2001.0
a halevy,answering queries using views a survey,vldb j,2001.0
s chandrasekaran m franklin,psoup a system for streaming queries over streaming data,vldb j,2003.0
r agrawal p haas j kiernan,watermarking relational data framework algorithms and analysis,vldb j,2003.0
a sheth s thacker s patel,complex relationships and knowledge discovery support in the infoquilt system,vldb j,2003.0
v verykios g moustakides m elfeky,a bayesian decision model for cost optimal record matching,vldb j,2003.0
b medjahed b benatallah a bouguettaya a ngu a elmagarmid,businesstobusiness interactions issues and enabling technologies,vldb j,2003.0
m zsu,new partnership with acm and update on the journal,vldb j,2003.0
y cui j widom,lineage tracing for general data warehouse transformations,vldb j,2003.0
s chien v tsotras c zaniolo,efficient schemes for managing multiversionxml documents,vldb j,2002.0
c chan p felber m garofalakis r rastogi,efficient filtering of xml documents with xpath expressions,vldb j,2002.0
z ives a halevy d weld,an xml query engine for networkbound data,vldb j,2002.0
,guest editorial,,2002.0
h jagadish s alkhalifa a chapman l lakshmanan a nierman s paparizos j patel d srivastava n wiwatwattana y wu c yu,timber a native xml database,vldb j,2002.0
t fiebig s helmer c kanne g moerkotte j neumann r schiele t westmann,anatomy of a native xml base management system,vldb j,2002.0
s ameryahia s cho l lakshmanan d srivastava,tree pattern query minimization,vldb j,2002.0
n an s gurumurthi a sivasubramaniam n vijaykrishnan m kandemir m irwin,energyperformance tradeoffs for spatial access methods on memoryresident data,vldb j,2002.0
r chirkova a halevy d suciu,a formal perspective on the view selection problem,vldb j,2002.0
c lee c shih y chen,a graphtheoretic model for optimizing queries involving methods,vldb j,2001.0
a ngu q sheng d huynh r lei,combining multivisual features for efficient indexing in a large image database,vldb j,2001.0
g shegalov m gillmann g weikum,xmlenabled workflow management for eservices across heterogeneous platforms,vldb j,2001.0
r braumandl m keidl a kemper d kossmann a kreutz s seltzsam k stocker,objectglobe ubiquitous query processing on the internet,vldb j,2001.0
p bernstein s pal d shutt,contextbased prefetch an optimization for implementing objects on relations,vldb j,2000.0
c wang x wang,indexing very highdimensional sparse and quasisparse vectors for similarity searches,vldb j,2001.0
w li k candan k hirata y hara,supporting efficient multimedia database exploration,vldb j,2001.0
c combi g pozzi,hmap a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,vldb j,2001.0
s manegold p boncz m kersten,optimizing database architecture for the new bottleneck memory access,vldb j,2000.0
h jagadish o kapitskaia r ng d srivastava,onedimensional and multidimensional substring selectivity estimation,vldb j,2000.0
j clauen a kemper d kossmann c wiesner,exploiting early sorting and early partitioning for decisionsupport query processing,vldb j,2000.0
,guest editorial,,2000.0
a fu p chan y cheung y moon,dynamic vptree indexing for nnearest neighbor search given pairwise distances,vldb j,2000.0
i mirbel b pernici t sellis s tserkezoglou m vazirgiannis,checking the temporal integrity of interactive multimedia documents,vldb j,2000.0
k tan c goh b ooi,progressive evaluation of nested aggregate queries,vldb j,2000.0
v raman b raman j hellerstein,online dynamic reordering,vldb j,2000.0
d laurent j lechtenbrger n spyratos g vossen,monotonic complements for independent data warehouses,vldb j,2001.0
j shanmugasundaram e shekita r barr m carey b lindsay h pirahesh b reinwald,efficiently publishing relational data as xml documents,vldb j,2001.0
e rahm p bernstein,a survey of approaches to automatic schema matching,vldb j,2001.0
c trker m gertz,semantic integrity support in sql 1999 and commercial objectrelational database management systems,vldb j,2001.0
,guest editorial,,2001.0
p pucheral l bouganim p valduriez c bobineau,picodbms scaling down database techniques for the smartcard,vldb j,2001.0
k chang h garciamolina,approximate query mapping accounting for translation closeness,vldb j,2001.0
k chakrabarti m garofalakis r rastogi k shim,approximate query processing using wavelets,vldb j,2001.0
m mecella b pernici,designing wrapper components for eservices in integrating heterogeneous systems,vldb j,2001.0
a bonifati s ceri s paraboschi,active rules for xml a new paradigm for eservices,vldb j,2001.0
r pottinger a halevy,minicon a scalable algorithm for answering queries using views,vldb j,2001.0
s sarawagi,usercognizant multidimensional analysis,vldb j,2001.0
,eservices guest editorial,,2001.0
a eyal t milo,integrating and customizing heterogeneous ecommerce applications,vldb j,2001.0
s su c huang j hammer y huang h li l wang y liu c pluempitiwiriyawej m lee h lam,an internetbased negotiation server for ecommerce,vldb j,2001.0
a datta k dutta d vandermeer k ramamritham s navathe,an architecture to support scalable online personalization on the web,vldb j,2001.0
o tsatalos m solomon y ioannidis,the gmap a versatile tool for physical data independence,vldb j,1996.0
a poulovassilis c small,algebraic query optimisation for database programming languages,vldb j,1996.0
b ooi j han h lu k tan,index nesting an efficient approach to indexing in objectoriented databases,vldb j,1996.0
y shyy j arroyo s su h lam,the design and implementation of k a highlevel knowledgebase programming language of osamkbms,vldb j,1996.0
k ramamritham p chrysanthis,a taxonomy of correctness criteria in database applications,vldb j,1996.0
a keller j basu,a predicatebased caching scheme for clientserver database architectures,vldb j,1996.0
d fang s ghandeharizadeh,an experimental system for objectbased sharing in federated databases,vldb j,1996.0
e amiel m bellosta e dujardin e simon,typesafe relaxing of schema consistency rules for flexible modeling in oodbms,vldb j,1996.0
b becker s gschwind t ohler b seeger p widmayer,an asymptotically optimal multiversion btree,vldb j,1996.0
j mylopoulos v chaudhri d plexousakis a shrufi t topaloglou,building knowledge base management systems,vldb j,1996.0
g evangelidis d lomet b salzberg,the hbpitree a multiattribute index supporting concurrency recovery and node consolidation,vldb j,1997.0
m mehta d dewitt,data placement in sharednothing parallel database systems,vldb j,1997.0
t hrder j reinert,access path support for referential integrity in sql2,vldb j,1996.0
d dey t barron v storey,a complete temporal relational algebra,vldb j,1996.0
v kashyap a sheth,semantic and schematic similarities between database objects a contextbased approach,vldb j,1996.0
g antoshenkov m ziauddin,query processing and optimization in oracle rdb,vldb j,1996.0
s abiteboul c beeri,the power of languages for the manipulation of complex values,vldb j,1995.0
a albano g ghelli r orsini,fibonacci a programming language for object databases,vldb j,1995.0
s white d dewitt,quickstore a high performance mapped object store,vldb j,1995.0
g landau j schmidt v tsotras,historical queries along multiple lines of time evolution,vldb j,1995.0
m zsu r peters d szafron b irani a lipka a muoz,tigukat a uniform behavioral objectbase management system,vldb j,1995.0
v benzaken a doucet,thmis a database programming language handling integrity constraints,vldb j,1995.0
,title preface to the special issue on persistent object systems,,1995.0
m atkinson r morrison,orthogonally persistent object systems,vldb j,1995.0
m stonebraker p aoki w litwin a pfeffer a sah j sidell c staelin a yu,mariposa a widearea distributed database system,vldb j,1996.0
e harris k ramamohanarao,join algorithm costs revisited,vldb j,1996.0
d dewitt j naughton j shafer s venkataraman,parallelising oodbms traversals a performance evaluation,vldb j,1996.0
r sivasankaran j stankovic d towsley b purimetla k ramamritham,priority assignment in realtime active databases,vldb j,1996.0
,title foreword vldb journal to be published electronically index vol 4,,1995.0
d barbar t imielinski,sleepers and workaholics caching strategies in mobile environments,vldb j,1995.0
c nyberg t barclay z cvetanovic j gray d lomet,alphasort a cachesensitive parallel external sort,vldb j,1995.0
a swami k schiefer,estimating page fetches for index scans with finite lru buffers,vldb j,1995.0
c clifton h garciamolina d bloom,hyperfile a data and query model for documents,vldb j,1995.0
p constantopoulos m jarke j mylopoulos y vassiliou,the software information base a server for reuse,vldb j,1995.0
r gting,an introduction to spatial database systems,vldb j,1994.0
d agrawal a abbadi r jeffers l lin,ordered shared locks for realtime databases,vldb j,1995.0
