author_1,author_2,author_3,author_4,title,venue,year
ouri wolfson,a prasad sistla,,,temporal conditions and integrity constraints in active database systems,sigmod conference,1995.0
roger king,,,,the rubicon of smart data,vldb,2002.0
terence critchlow,ron musick,,,practical lessons in supporting largescale computational science,sigmod record,1999.0
dan suciu,,,,on database theory and xml,sigmod record,2001.0
amit shukla,miron livny,michael j carey,laura m haas,seeking the truth about ad hoc join costs,vldb j,1997.0
philip s yu,charu c aggarwal,jiawei han,jianyong wang,a framework for clustering evolving data streams,vldb,2003.0
,,,,titl forewor special issue editorial,vldb j,1994.0
mingsyan chen,chichun lin,,,vipas virtual link powered authority search in the web,vldb,2003.0
karlheinz hess,,,,very large databases in a commercial application environment,vldb,1996.0
martin l kersten,peter a boncz,,,mil primitives for querying a fragmented world,vldb j,1999.0
bruce g lindsay,hamid pirahesh,berthold reinwald,michael j carey,efficiently publishing relational data as xml documents,vldb j,2001.0
charly kleissner,,,,enterprise objects framewor a second generation objectrelational enabler,sigmod conference,1995.0
qiong luo,divyakant agrawal,wensyan li,wangpin hsiung,enabling dynamic content caching for databasedriven web sites,sigmod conference,2001.0
goetz graefe,perke larson,,,memory management during run generation in external sorting,sigmod conference,1998.0
diane l davison,goetz graefe,,,dynamic resource brokering for multiuser query execution,sigmod conference,1995.0
michael rabinovich,pradnya karbhari,fred douglis,zhen xiao,acdn a content delivery network for applications,sigmod conference,2002.0
jeffrey f naughton,pradeep shenoy,raghav kaushik,philip bohannon,updates for structure indexes,vldb,2002.0
krithi ramamritham,shyamshankar dharmarajan,shetal shah,,an efficient and resilient approach to filtering and disseminating streaming data,vldb,2003.0
richard t snodgrass,,,,editorial,acm trans database syst,2001.0
donald kossmann,frank ramsak,steffen rost,,shooting stars in the sky an online algorithm for skyline queries,vldb,2002.0
michael stonebraker,nicholas j belkin,gio wiederhold,erich j neuhold,metrics for accessing heterogeneous data is there any hope panel,vldb,1995.0
ralfdetlef kutsche,geertjan houben,mark roantree,bodo rieger,research and practice in federated information system report of the efis 2000 international workshop,sigmod record,2000.0
christian s jensen,toms isakowitz,richard t snodgrass,curtis e dyreson,on the semantics of now in databases,acm trans database syst,1997.0
haifeng yu,amin vahdat,,,efficient numerical error bounding for replicated network services,vldb,2000.0
andrew tomkins,prabhakar raghavan,ravi kumar,sridhar rajagopalan,extracting largescale knowledge bases from the web,vldb,1999.0
roger s barga,david b lomet,perke larson,surajit chaudhuri,the microsoft database research group,sigmod record,1998.0
jeffrey d ullman,abraham silberschatz,michael stonebraker,,database research achievements and opportunities into the 21st century,sigmod record,1996.0
peter m g apers,milan petkovic,roelof van zwol,menzo windhouwer,flexible and scalable digital library search,vldb,2001.0
ralf kramer,,,,databases on the web technologies for federation architectures and case studies tutorial,sigmod conference,1997.0
michael j franklin,,,,editors notes,sigmod record,1997.0
igor tatarinov,wai tak theodora yeung,shiori betzler,jing su,selforganizing data sharing communities with sagres,sigmod conference,2000.0
xiaolei qian,,,,turmoil at nas and numerous funding announcements,sigmod record,1995.0
eileen oiyan mak,quan z sheng,boualem benatallah,marlon dumas,selfserv a platform for rapid composition of web services in a peertopeer environment,vldb,2002.0
israel benshaul,benny reich,,,a componentized architecture for dynamic electronic markets,sigmod record,1998.0
c gregory doherty,,,,database systems management and oracle8,sigmod conference,1998.0
divesh srivastava,flip korn,johannes gehrke,,on computing correlated aggregates over continual data streams,sigmod conference,2001.0
alin deutsch,mary f fernandez,dan suciu,,storing semistructured data with stored,sigmod conference,1999.0
elaheh pourabbas,maurizio rafanelli,,,a pictorial query language for querying geographic databases using positional and olap operators,sigmod record,2002.0
surajit chaudhuri,vivek r narasayya,,,an efficient costdriven index selection tool for microsoft sql server,vldb,1997.0
richard t snodgrass,,,,sigmod program review,sigmod record,2000.0
boris klots,,,,cache coherency in oracle parallel server,vldb,1996.0
david campbell,,,,the new lockin loggin and recovery architecture of microsoft sql server 70,vldb,1999.0
arturo jaime,oscar daz,,,exact an extensible approach to active objectoriented databases,vldb j,1997.0
edward l wimmers,donald kossmann,jun yang,laura m haas,optimizing queries across diverse data sources,vldb,1997.0
ling liu,,,,editors notes,sigmod record,2003.0
won kim,,,,unisqlx unified relational and objectoriented database system,sigmod conference,1994.0
charles levine,,,,orderofmagnitude advantage of tpcc though massive parallelism,sigmod conference,1995.0
evaggelia pitoura,panos k chrysanthis,,,exploiting versions for handling updates in broadcast disks,vldb,1999.0
walter g wilson,ambuj goyal,sriram padmanabhan,gilles fecteau,an overview of db2 parallel edition,sigmod conference,1995.0
michael j carey,,,,on xml and databases wheres the beef panel abstract,sigmod conference,2000.0
alon y levy,dan suciu,daniela florescu,mary f fernandez,declarative specification of web sites with strudel,vldb j,2000.0
masaru kitsuregawa,takahiko shintani,,,parallel mining algorithms for generalized association rules with classification hierarchy,sigmod conference,1998.0
hansjrg schek,moira c norrie,gerhard weikum,stephen blott,the database research group at eth zurich,sigmod record,1994.0
john s keen,william j dally,,,extended ehemeral logging log storage management for applications with long lived transactions,acm trans database syst,1997.0
sophie cluet,,,,who needs xml databases,vldb,2003.0
munindar p singh,e michael maximilien,,,conceptual model of web service reputation,sigmod record,2002.0
richard t snodgrass,,,,tods reviewers,sigmod record,2003.0
michael j franklin,,,,editors notes,sigmod record,1999.0
wei wang,richard r muntz,jiong yang,,sting a statistical information grid approach to spatial data mining,vldb,1997.0
chee yong chan,minos n garofalakis,rajeev rastogi,,retree an efficient index structure for regular expressions,vldb j,2003.0
david b lomet,roger s barga,,,phoenix making applications robust,sigmod conference,1999.0
reed m meseck,,,,data management lasting impact of the wild wil wil web,sigmod conference,2001.0
peter fankhauser,,,,xquery formal semantics state and challenges,sigmod record,2001.0
wolfgang mahnke,christian mathis,hanspeter steiert,,extending an ordbms the statemachine module,vldb,2002.0
beng chin ooi,bin cui,kianlee tan,jianwen su,contorting high dimensional data for efficient main memory processing,sigmod conference,2003.0
thomas brinkhoff,hanspeter kriegel,ralf schneider,bernhard seeger,genesys a system for efficient spatial query processing,sigmod conference,1994.0
surajit chaudhuri,kyuseok shim,,,storage and retrieval of xml data using relational databases,vldb,2001.0
narain h gehani,krithi ramamritham,alexandros biliris,h v jagadish,asset a system for supporting extended transactions,sigmod conference,1994.0
takeshi tokuyama,yasuhiko morimoto,shinichi morishita,takeshi fukuda,data mining with optimized twodimensional association rules,acm trans database syst,2001.0
thomas tesch,peter muth,wolfgang klas,marek rusinkiewicz,towards a cooperative transaction model the cooperative activity model,vldb,1995.0
mariano cilia,alejandro p buchmann,,,an active functionality service for ebusiness applications,sigmod record,2002.0
robert fenk,rudolf bayer,volker markl,martin zirkel,integrating the ubtree into a database system kernel,vldb,2000.0
christos faloutsos,,,,indexing multimedia databases tutorial,sigmod conference,1995.0
arun n swami,k bernhard schiefer,,,estimating page fetches for index scans with finite lru buffers,sigmod conference,1994.0
chengwen liu,a prasad sistla,clement t yu,king liu,similarity based retrieval of pictures using indices on spatial relationships,vldb,1995.0
tali yatzkarhaham,asaf adi,david botzer,opher etzion,monitoring business processes through event correlation based on dependency model,sigmod conference,2001.0
timos k sellis,panos vassiliadis,,,a survey of logical models for olap databases,sigmod record,1999.0
dennis shasha,eric simon,patrick valduriez,franois llirbat,transaction chopping algorithms and performance studies,acm trans database syst,1995.0
david j dewitt,michael j carey,,,of objects and databases a decade of turmoil,vldb,1996.0
michael j franklin,moustafa a hammad,ahmed k elmagarmid,walid g aref,scheduling for shared window joins over data streams,vldb,2003.0
sihem ameryahia,theodore johnson,,,optimizing queries on compressed bitmaps,vldb,2000.0
claudia bauzer medeiros,mario a nascimento,,,report on the 13th brazilian symposium on database systems sbbd98,sigmod record,1999.0
mallela subramanyam,mitul tiwari,sandeep srivastava,soumen chakrabarti,memex a browsing assistant for collaborative archiving and mining of surf trails,vldb,2000.0
bassel ojjeh,,,,microsoft site server commerce edition,sigmod conference,1999.0
fereidoon sadri,laks v s lakshmanan,subbu n subramanian,,schemasql an extension to sql for multidatabase interoperability,acm trans database syst,2001.0
joan peckham,bonnie mackellar,michael doherty,,data model for extensible support of explicit relationships in design databases,vldb j,1995.0
erhard rahm,hong hai do,,,coma a system for flexible combination of schema matching approaches,vldb,2002.0
nick roussopoulos,alexandros labrinidis,,,webview materialization,sigmod conference,2000.0
jiawei han,zhaohui xie,,,join index hierarchies for supporting efficient navigations in objectoriented databases,vldb,1994.0
andrew eisenberg,jim melton,,,sqlj part now known as sqlolb objectlanguage bindings,sigmod record,1998.0
jeffrey f naughton,john c shafer,david j dewitt,shivakumar venkataraman,parallelising oodbms traversals a performance evaluation,vldb j,1996.0
elaheh pourabbas,alberto donofrio,,,modelling temporal thematic map contents,sigmod record,2003.0
richard a hankins,jignesh m patel,,,data morphing an adaptiv cacheconscious storage technique,vldb,2003.0
birgitta knigries,peter c lockemann,,,research in databases and dataintensive applications computer science department and fz university of karlsruhe,sigmod record,1997.0
arthur m keller,michael r genesereth,oliver m duschka,,infomaster an information integration system,sigmod conference,1997.0
v wiktor marek,bradley f burton,,,applications of the java programming language to database management,sigmod record,1998.0
jennifer widom,,,,editors notes,sigmod record,1996.0
anastassia ailamaki,joseph m hellerstein,,,exposing undergraduate students to database system internals,sigmod record,2003.0
malcolm p atkinson,,,,guest editorial,vldb j,2000.0
kouichi yasutake,kazutoshi sumiya,yoshihiko imai,hirohiko tanaka,a product specification database for visual prototyping,vldb,1995.0
jiawei han,yongjian fu,,,discovery of multiplelevel association rules from large databases,vldb,1995.0
hanspeter kriegel,bernhard braunmller,thomas seidl,mihael ankerst,improving adaptable similarity query processing by using approximations,vldb,1998.0
