<page title>,camerastorecomau,product name,the bad,the good,camera type,digital camera warehouse,digital camera warehouse nsw vic qld,dimensions,lcd size,optical image stabilization,sensor resolution,sensor resolution mpx,shop,vic,video resolution,weight,zoom,modtech computers,tech4ucomau,warehouse1,camerastorecomau sa,nsw,qld,dimensions mm,weight g,pc meal,nsw vic qld sa,graysonline,itspotcomau,mega buy,nsw vic qld,discount digital photographics,istorecomau,appliances now
Sony Cyber-shot DSC-WX100 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Unblocked ambient noise, USB cable issues, Battery issues","Quality images, Reliable features, Nice Auto Mode",Compact,"NSW, VIC, QLD","Sony Cyber-shot DSC-WX100 Digital Camera - 18.2 Megapixel
At just 17.5 mm thin, the stylish Sony Cyber-shot DSC-WX100 is the world's smallest and lightest digital camera. Not only is it small but it also houses an impressive 10x Optical Zoom Sony G lens so you can cover just about any photographic scene. An 18.2 Megapixel âExmor Râ¢â CMOS sensor provides ex...
Genuine Australian Warranties Fast Delivery!
$307.00
See Site
See offer","92,3 x 52,4 x 21,6 mm","2,7 """,Yes,"18,2 Mpx",,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,108 g,10 x,,,,"Sony DSC-WX100 Black (4062)
At just 17.5 mm thin, the stylish Cyber-shot WX100 is an amazingly small and light camera. It has an impressive 10x Optical Zoom, 18.2MP âExmor Râ¢â CMOS sensor for more clarity in low-light conditions, as well as enhanced Optical SteadyShot for blur-free shots.
$249.00
Available
See offer","Sony Cyber-shot DSC-WX100 High Zoom Compact Digital Camera Black (DSCWX100B)
Slim, advanced Cyber-shot with powerful zoom, Full HD and 3D shooting 18.2 megapixels Exmor R, 10x optical zoom, AVCHD Full HD, 3D, 6.7cm LCD, Superior AUTO Super slim with high 10x optical zoom Blur-free HD movies and stills, even when walking Beautifully clear, detailed images in low light World
Sydney CBD Pick Up or Shipping Aus Wide
$315.00
Available
See offer",,,,,,,,,,,,
Fujifilm FinePix HS20EXR - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,Video quality is poor,"Image-quality is exemplary, lightweight",Bridge,"NSW, VIC, QLD","Fujifilm FinePix HS20EXR Digital Camera - 16 Megapixel
The Fuji FinePix HS20EXR is an ultra-zoom bridge digital camera boasting a whopping 30x optical zoom Fujinon lens with 24mm super wide-angle. Incorporating a back illuminated 16 megapixel CMOS sensor with EXR array, the HS20 promises improved low-light performance plus a host of powerful features in...
Genuine Australian Warranties Fast Delivery!
$545.00
See Site
See offer",131 x 91 x 126 mm,"3 """,Yes,16 Mpx,16,Product Name» Show All Product Descriptions Price Availability,"Fujifilm FinePix HS20 16MP, 30x optical zoom, 3.0"" Tilting LCD, ISO 12800, Hig (5-75511)
Cameras::Still Camera
Supplies, Service & Support - Aust Warranty
$728.60
See Site
See offer",1920x1080 px,730 g,30 x,,,,,,,131 x 91 x 126,730.0,,,,,,,,,
Sony Cybershot DSC-S930 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Sony Cyber-shot DSC-S930 Digital Camera - 10.1 Megapixel
The Sony Cyber-shot DSC-S930 is a dependable, everyday camera that combines Sony's superior technology with great value. The S930 brings you a variety of intelligent features in a compact, easy-to-use design. Face Detection technology automatically detects up to eight faces and optimises focus and e...
Genuine Australian Warranties Fast Delivery!
$129.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,,,,,,,,,,,,
Sony Alpha 7S - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,short battery life; slow continuous shooting (2.5 fps),"great camera, magnesium body is dust resistant, weather resistant, WiFi and NFC connectivity, rechargeable lithium battery",,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S6300 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,Compact,,,94 x 58 x 26 mm,"2,7 """,Yes,16 Mpx,,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,160 g,10 x,,,,"Nikon Coolpix S6300 Black (3685)
Let your imagination run in style Have more creative freedom-even in low light. With the COOLPIX S6300's 10x optical zoom NIKKOR lens, special effects and panorama function, vibrant images are right at your fingertips. Also, the COOLPIX S6300 supports full 1080 HD movie recording. *35mm format equiv...
$204.00
Available
See offer","Nikon Coolpix S6300 Compact Digital Camera - Black
Digital Cameras::Nikon
Direct to Your Door. Australian Warranties
$188.00
2 more offers
See Site
See offer",,,,,,,,,,,,
Canon IXUS 500 HS - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,Compact,"NSW, VIC, QLD","Canon IXUS 500 HS Digital Camera
The Canon IXUS 500 HS is a beautifully styled, slim and compact digital camera that's just perfect for almost any occasion. With a genuine Canon 12x Optical Zoom lens you can get close to the action: or capture wide-angle scenes - plus its Optical Image Stabiliser with Intelligent IS will help you t...
Genuine Australian Warranties Fast Delivery!
$159.00
See Site
See offer",87 x 54 x 19 mm,"3 """,Yes,"10,1 Mpx",,Product Name» Show All Product Descriptions Price Availability,,1920x1080 px,155 g,12 x,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-LX7 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,Modest zoom range; Shallow handgrip; Hard-to-read control buttons,Fast lens; 1080p video; Higher resolution display; Many physical controls,,,,,,,,,,,,,,VIC,,,,,,,,,,,,,,,,
Sony Cyber-shot DSC-WX350 - Price Comparison - Buy Cheap in Australia,SA SA,» Show All Product Descriptions,Poor outdoors screen visibility; Basic Wi-Fi functions; Lens quality at edges,Lightweight and compact body for better handling; 20x stabilized optical zoom; 470 shot battery life,,,,,,,,,,,,,,VIC,"NSW, VIC, QLD, SA, WA",,,,,,,,,,"VIC, QLD, SA, WA","NSW, VIC, QLD, SA, WA",,,,
Canon EOS 650D / 18-55mm & 55-250mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Expensive, Some features are unreliable, Bulky","Admirable image quality, More portable than other DSLRs, Touchscreen",,"NSW, VIC, QLD",,,,,,,,,,,,,"NSW, VIC, QLD, SA, WA",,,,,,,,,,"VIC, QLD, SA, WA","NSW, VIC, QLD, SA, WA",,,,
Canon EOS 7D / 15-85mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"No continuous autofocus in movie mode, only one card slot","Great image quality, pro-grade speed and features, all-metal and weather-sealed",,"NSW, VIC, QLD",,,,,,,,,,,,,"NSW, VIC, QLD, SA, WA",,,,,,,,,,"VIC, QLD, SA, WA","NSW, VIC, QLD, SA, WA",,,,
Nikon D5200 / 18-140mm Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,"Nikon D5200 Black with Nikon AF-S DX NIKKOR 18-140mm f/3.5-5.6G ED VR Lens Kit
The Nikon D5200 Digital SLR Body has been introduced to replace the very popular Nikon D5100. This camera sits between the Nikon D3200 and the Nikon D7000, providing very high quality video, fast image processing and a very large 24.1mp CMOS DX crop sensor. The Nikon D 5200 has a 32 point AF system...
Better > Photography > Fast
$953.73
1 more offer
Available
See offer",,,,,,,,,,,
Canon PowerShot D30 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,,"NSW, VIC, QLD, SA, WA","NSW, QLD, VIC, WA, SA",,,,,,,,,"VIC, QLD, SA, WA",,,,,
Nikon Coolpix L820 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,Plastic outer casing is not very durable or elegant,Great picture quality; 30x optical zoom; Easy and quick to use,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,"Nikon Coolpix L820 16MP L-820 Digital Camera - BLACK + 12MTH LOCAL WARRANTY
LOCAL AUSTRALIAN STOCK FULL 24MTH WARRANTY WITH NIKON AUSTRALIA Features of Nikon Coolpix L820 16MP L-820 Digital Camera - BLACK + 12MTH LOCAL WARRANTY : High-power NIKKOR 30x zoom lens Back-illuminated 16 MP CMOS sensor Full HD (1080p) movie recording 3.0-inch (921k) LCD screen Lens-shift (VR) vibr...
Full 12 MONTH Australian Warranty
$208.00
See Site
See offer",,,,,,,"Nikon Coolpix L820 Black (4269)
Enjoy the extraordinary convenience of 30x zoom in compact form
$215.00
3 more offers
Available
See offer",,,,,,,,,,,,,
Fujifilm X-Pro 1 / 35mm Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,Compact,"NSW, VIC, QLD",,140 x 82 x 43 mm,"3 """,No,"16,3 Mpx",,,,1920x1080 px,450 g,,,,,,,,,,,,,,,,,,
Canon EOS 700D / 18-200mm Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,"Canon EOS 700D DSLR Body with Canon EF-S 18-200mm f/3.5-5.6 IS Lens Kit
The Canon EOS 700D DSLR Camera Body has a 18 megapixel CMOS sensor paired with a DIG!C 5 processor, providing fast and high quality image processing. The ISO range starts at 100 and can be expanded to 25,600, allowing low light photography. The 700D is capable of shooting at 5 frames per second, and...
Better > Photography > Fast
$1,088.67
Available
See offer",,,,,,,,,,,
Canon PowerShot G15 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"No cables included, Menus needs improvement, No manual","Metal - built, Good for Creative Photography, Sharp images",,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,"Canon Powershot G15 (3097)
The PowerShot G15 offers amazing image quality with a 12.1 Megapixel High-Sensitivity CMOS sensor and amazing low light capability. Featuring a 28mm wide angle lens, 5x zoom with Optical Image Stabilisation and RAW shooting, you can enjoy complete flexibility when manipulating images. Not only will...
$469.00
Available
See offer","Canon PowerShot G15 Digital Camera (PSG15)
Never miss a shot with the fast and brightest PowerShot G yetThe PowerShot G15 delivers superior image quality with a Canon 12.1 Megapixel High-Sensitivity CMOS sensor offering amazing low light capability. Featuring a 28mm wide angle lens, 5x zoom with Optical Image Stabilisation and multi aspect R
Sydney CBD Pick Up or Shipping Aus Wide
$479.00
Available
See offer",,,,,,,,,,,,
Panasonic Lumix DMC-LF1 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,Slightly cluttered; Pricey; HDR quality is not great,Compact size; Decent battery life; User friendly design; Wi-Fi app feature,,"NSW, VIC, QLD",,,,,,,,,,,,VIC,"NSW, VIC, QLD, SA, WA","NSW, QLD, VIC, WA, SA",,,,,,,,,"VIC, QLD, SA, WA","NSW, VIC, QLD, SA, WA",,,,
Sony Alpha 7 / 28-70mm Kit - Price Comparison - Buy Cheap in Australia,SA,» Show All Product Descriptions,"Loud shutter sound; Mediocre battery life,; Low light autofocus is minimal",Compact/lightweight; improved autofocus; full frame image sensor,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,NSW,,
Panasonic Lumix DMC-FZ1000 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,lots of features can be overwhelming,"good in bright sunlight, good in-camera software, time lapse recording available, 25 image scene modes to choose from, 20.1 MP CMOS sensor",,"NSW, VIC, QLD",,,,,,,,,,,,VIC,,,,,,,,,,,,,,,,
Nikon Coolpix S2800 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Cybershot DSC-W350 - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Sony Cyber-shot DSC-W350 Digital Camera - 14.1 Megapixel
The Sony Cyber-shot DSC-W350 sports a 26mm equivalent wide-angle Carl Zeiss Lens with 4x optical zoom that brings distant subjects closer for great outdoor, sports and travel photos. Plus, the wide angle lens helps you fit everyone in for better group photos. Take breathtaking panoramas in Sweep Pan...
Genuine Australian Warranties Fast Delivery!
$188.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,,,,,,,,,,,,
Canon EOS M / 18-55mm & 22mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Poor Autofocus, Battery life","Image quality, Touchscreen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 1200D / 18-135mm - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,,,,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,"Canon EOS 1200D with Canon EF-S 18-135mm f/3.5-5.6 IS Lens
The Canon D1200 is a great entry level DSLR with a Full HD (1080p) video. It supports 24p for that real film look and has contrast detection for video auto-focus. This 18mp easy to use compact entry level DSLR has a large APS-C (22.3x14.9mm) sensor and a quality 3.0"" LCD screen. The Canon 1200D with...
Better > Photography > Fast
$833.46
1 more offer
Available
See offer",,,,,,,,,,,
Canon EOS-1D X - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,Larger and heavier than previous 1D bodies,"Excellent image quality, full-frame sensor, highly customizable interface",SLR,"NSW, VIC, QLD",,158 x 164 x 83 mm,"3,2 """,No,"18,1 Mpx",,,,1920x1080 px,,,,,,,,,,,,,,,,,NSW,,
Sony Alpha 7 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,Touch screen; No built in flash; Lack of screen tilt,Well placed shutter button; USB compatible batteries; Light weight,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon D90 / 18-105 VR Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,SLR,,,132 x 103 x 77 mm,"3 """,Yes,"12,3 Mpx","12,3",,,1280x720 px,703 g,,,,,,,,132 x 103 x 77,703.0,,,,,,,,,
Sony SLT-A99 - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,,,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-GM1 / 12-32mm Kit - Price comparison & reviews - Digital Cameras - Australia,SA,» Show All Product Descriptions,"Doesnât offer the best value for money out there, especially if portability is not what youâre looking for",Great image-quality-to-camera-size ratio; Highly portable,,"NSW, VIC, QLD",,,,,,,,,,,,,,,,,,,,,,,,,,NSW,,
Sony Alpha NEX-6 - Price Comparison - Buy Cheap in Australia,SA SA,» Show All Product Descriptions,"Pricey, No External Charger","Quality images, Reliable features, Fast Autofocus, Pocketable, Wi-Fi Ready",,"NSW, VIC, QLD NSW, VIC, QLD","Sony NEX-6 Interchangeable Lens Digital Camera
This kit includes the Sony NEX-6 body only. The latest in Sony's CSC line-up is the Sony Alpha NEX-6, a first-class photographic experience designed to really take you to the next level. Though highly portable and compact in size, the NEX-6 is feature-packed with the latest technology and advancemen...
Genuine Australian Warranties Fast Delivery!
$631.00
See Site
See offer Sony NEX-6 Interchangeable Lens Digital Camera - Ex Demo
The latest in Sony&#8217:s CSC line-up is the Sony NEX6, a first-class photographic experience designed to really take you to the next level. Though highly portable and compact in size, the NEX-6 is feature-packed with the latest technology and advancements including an APS-C sized 16MP Exmor&#8482:...
Genuine Australian Warranties Fast Delivery!
$599.00
1 more offer
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,"Sony Alpha NEX-6 Mirrorless Digital Camera( Black-Body Only)
16.1 MP APS-C Size CMOS Image SensorThe same sensor format that Sony builds into the full-sized a DSLRs. With 13 times the area of the typical point-and-shoot image sensor, APS-C makes the difference between ""snapshots"" and ""photographs,"" delivering an exceptional combination of high resolution, hig...
Free Shipping+1 Year Local Warranty+GST Invoice
$579.00
Available
See offer",,,,,,,"Sony NEX-6 Body Only (4084)
The new Sony NEX-6 is ready to take your photographic vision to the next level. Loaded with superior features like APS-C sensor, XGA OLED electronic viewfinder, Fast Hybrid AF, Full HD Movie and more. It's well equipped to help your photography and cinematography go beyond the ordinary.
$749.00
1 more offer
Available
See offer Tamron 24-70mm F2.8 Di USD Sony Mount (4722)
A constant-aperture high-speed standard zoom lens with image stabilisation The A007 is a high-quality, highly functional, high-speed standard zoom lens covering the 24?70mm focal range. It includes Tamron's USD (Ultrasonic Silent Drive) motor, enabling speedy, silent autofocusing. Note: No VC on Son...
$1,090.00
Available
See offer","Sony Alpha NEX-6 Body (NEX6B)
NEX-6 Body Expert performance. Effortless control. DSLR size 16.1 MP sensor, Wi-Fi, OLED Viewfinder, control dial & Full HD video. With SEL-P1650 and SEL-55210 Pro-quality with a DSLR sized sensor & 16.1 MP DSLR control with OLED viewfinder & control dial Share pictures &am
Sydney CBD Pick Up or Shipping Aus Wide
$782.00
Available
See offer",,,,,,,,,,,,
Fujifilm X-E1 / 18-55mm & 55-200mm Kit - Price comparison & reviews - Digital Cameras - Australia,,» Show All Product Descriptions,,,,"NSW, VIC, QLD","Fujifilm X-E1 + XF 18-55mm + XF 55-200mm Twin Lens Kit
The Fujifilm X-E1 Twin Lens Kit is a powerful interchangeable-lens camera system which combines must-have modern features with chic retro styling. An APS-C-sized high-performance 16MP X-Trans CMOS sensor utilizing a uniquely developed colour filter array with highly random pixel arrangement delivers...
Genuine Australian Warranties Fast Delivery!
$1,619.00
See Site
See offer",,,,,,Product Name» Show All Product Descriptions Price Availability,,,,,,,,,,,,,,,,,,,,,
