<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Leica S (Type 006)  New Zealand Prices - PriceMe,,"100 - 1,600 ISO",,CCD,,32-1/4000s,"JPEG, RAW",,,,,,,,,,
Pentax K-50  New Zealand Prices - PriceMe,,"100 - 51,200 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Sony Alpha SLT-A57 + 18-55/3.5-5.6 + 55-200/4.0-5.6  New Zealand Prices - PriceMe,,"100 - 25,600 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-TX9  New Zealand Prices - PriceMe,With Image Stabilizer,"ISO 125, ISO 1600, ISO 200, ISO 3200, ISO 400, ISO 800, Auto",4000x3000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-4.6,100mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,32MB,"Memory Stick Duo, SD Memory Card, Memory Stick PRO Duo, SDHC, SDXC"
Olympus Pen E-PL1 + 14-42/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 6,400 ISO",4032x3024,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",180-1 / 2000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 60D + Tamron 18-270 PZD  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 650D + 15-85/3.5-5.6 IS  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha SLT-A58 + 18-55/3.5-5.6 II + 55-200/4.0-5.6  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,,,,,,,,,,
Nikon Coolpix P7800  New Zealand Prices - PriceMe,Optical,80 ISO,4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2-4,200mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung WB150F  New Zealand Prices - PriceMe,Optical,80 ISO,4320x3240,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-5.8,432mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Alpha DSLR-A390 + 18-55/3.5-5.6 + 55-200/4.0-5.6  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",4592x3056,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix XP150  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D3300 + 18-140 VR  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",6000x4000,CMOS,,30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Canon EOS 7D + 24-105/4.0 L IS USM  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon PowerShot SX230 HS  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4000x3000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.1-5.9,392mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.","Black, Blue, Green, Pink, Purple, Red, Silver",,
Canon PowerShot A2200  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 1600,4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",15 1/1600s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.8-5.9,112mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix S01 Mini  New Zealand Prices - PriceMe,ISO anti-shake,"80 - 1,600 ISO",3648x2736,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-5.9,87mm,29mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-W610  New Zealand Prices - PriceMe,ISO anti-shake,"100 - 3,200 ISO",4320x3240,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-5.9,105mm,26mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,Memory Stick (MS)Memory Stick Duo (MS Duo)Memory Stick Micro (MS Micro)Memory Stick Pro (MS Pro)Memory Stick Pro Duo (MS Pro Duo)microSD/TransFlashmicroSDHCSecure Digital (SD)Secure Digital HC (SDHC)Secure Digital XC (SDXC)
Canon EOS 1200D + 18-135mm IS STM  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
