<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Sony Alpha SLT A57K (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,"Dolby Digital (AC-3), MPEG-4 AAC-LC","Yes, TTL Phase Detection",16.1 MP,4x,,"JPEG, DCF 2.0, EXIF 2.3, RAW (ARW 2.3), RAW JPEG, MPO",,100 - 12800,,Yes,1/4000 sec,30 sec,3x,,"Yes, 2 and 10 sec","AVCHD, MP4","Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, Color Temperature, Color Filter, Custom, AWB Micro Adjustment","Yes, Primary (RGB) Color Filter","Yes, 12 fps (Tele-zoom Continuous Advance Priority AE Mode), 10 fps (Continuous Mode)",Yes,"Yes, Anti-dust Charge Protection Coating",Yes,,"16:9, 3:2",Yes,4912 x 3264 Pixels,,"Windows XP SP3 (32-bit), Windows Vista SP2, Windows 7 SP1, MAC OS X 10.5, MAC OS X 10.6",,,23.5 x 15.6 mm,Exmor APS HD CMOS,,,,1920 x 1080 pixels,Yes,Yes,"Auto (Flash-off), Auto, Fill Flash, Red-eye Reduction, Rear Sync, Slow Sync, High-speed Sync, Wireless",,,,Yes,,,,132.1 (W) x 97.5 (H) x 80.7 (D) mm,,,,SLR,,"539 g (without Battery, Memory Card or Accessories)",,
"Sony Alpha NEX 6 (16-50 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),"Dolby Digital (AC-3) / MPEG-4 AAC-LC, 2ch","Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View",16.1 MP,,16 - 50 mm (35 mm Equivalent to 24 - 75 mm),"JPEG (DCF Ver. 2.0, Exif Ver.2.3, MPF Baseline compliant), RAW (Sony ARW 2.3 format)",No,100 - 25600,Sony E (NEX),Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (99), Tracking Focus, Predictive control, Focus lock, Built-in AF illuminator, MF Assist","Yes, 2 or 10 sec",AVCHD / MP4,"Custom White Balance, White Balance Presets (Auto WB, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, C.Tem , C.Filter)",,"Yes, Continuous mode: max. 3 fps, Speed-priority continuous mode: max 10 fps",No,"Yes, Charge protection coating on Optical Filter and ultrasonic vibration mechanism","Yes, Up to 8 faces detectable automatically, Smile Shutter","Yes, HDMI Mini, Type C",,,4912 x 3264 Pixels,"Yes, Built-in Stereo","Windows(R) XP SP3, Windows Vista(R) 4 SP2, Windows 7 SP1, Mac OS X (v10.3-v10.8)","Yes, Exif Print, Print Image Matching III, DPOF setting",BIONZ,23.5 x 15.6,Exmor APS HD CMOS,"Shooting Modes (Single-shot, Continuous shooting, Speed-priority continuous shooting, Self-timer, Bracketing, Remote Cdr), Picture Effects (Posterization (Color, B/W), Pop Color, Retro Photo, Partial Color (Red, Yellow, Blue, Green), High Contrast Monochrome, Toy Camera, Soft High-key, Soft Focus, HDR Painting, Rich-tone Mono, Miniature), Creative Style (Standard, Vivid, Portrait, Landscape, Sunset, B/W)",,Yes,,"Yes, Pop-Up","Yes, Hot-shoe","Auto, On, Off, Red-Eye, Slow Sync, Rear Curtain, Fill-in","Yes, Multi-segment, center-weighted, spot","Yes, 1/160 sec",,Yes,,Yes,,,,,,,,,,
"Sony CyberShot DSC H300 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,,20.1 MP,,,,,80 - 3200,,,,,,,,,"Auto, Daylight, Cloudy, Incandescent, Fluorescent, White Balance: 1 3, Flash, One Push, One Push Set",,,,,Yes,,"16:9, 4:3",,5152 x 3864 Pixels,,,,,1/2.3 inch,Super HAD CCD,,,,1280 x 720 pixels at 30 fps,,,,,,,,,,,127.5 (W) x 89.0 (H) x 91.7 (D) mm,,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO HG Duo / SD / SDHC / SDXC / Memory Stick XC-HG Duo / Memory Stick Micro / Memory Stick Micro (Mark 2) / microSD / microSDHC / microSDXC,,Advance Point and shoot,Yes,"495 g (Body Only), 590 g (with Battery and Memory Stick)",,
"Sony ILCE 3500J (18-50 mm)  Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F4.0 (W) - F5.6 (T),"Dolby Digital (AC-3) 2ch, MPEG-4 AAC-LC 2ch","Yes, Contrast Detection, Direct Manual Focus, Single Shot, Continuous",20.4 MP,,18 - 50 mm,"JPEG (DCF Ver. 2.0, Exif Ver.2.3, MPF Baseline compliant)","Yes, Optical Image Stabilization",100 - 16000,Sony E-mount Lens,Yes,1/4000 sec,30 Sec,,"Multi Point (25 points), Center-weighted, Flexible Spot, Tracking Focus, Focus lock, Built-in AF illuminator (Distance: approx. 0.5-3.0m (with E 18-50mm F4-5.6 lens attached))","Yes, 2 or 10 sec","AVCHD format Ver. 2.0 compliant, MP4","Auto WB, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, C.Tem , C.Filter , Custom",,"Yes, Continuous mode : max. 2.5 fps, Speed Priority Continuous shooting : max. 3.5 fps",,"Yes, Charge Protection Coating On, Optical Filter","Yes, Up to 8 faces detectable automatically, Smile Shutter, MF Assist, Shooting Tips, Help Guide",,,,,,"Windows Vista7 SP2, Windows 7 SP1, Windows 8, Windows 8.1, Mac OS X (v10.6-v10.9)",,,,,,,,,,,,"Yes, Multi-segment, center-weighted, spot","Yes, 1/160 sec",,Yes,,,,,,,,,,,,
"Canon PowerShot A2500 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.8 (W) - F/6.9 (T),Linear PCM,"Yes, TTL",16 MP,4x,5 - 25 mm (35 mm Equivalent to 24 - 140 mm),"JPEG, EXIF 2.3, DCF, DPOF 1.1",,100 - 1600,Canon Zoom Lens,,1/2000 sec,1 sec,5x,,"Yes, 2 and 10 sec","MOV, H.264","Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom","Yes, Primary (RGB) Color Filter","Yes, 0.8 fps",Yes,,Yes,,,"Yes, 3 cm",,,"Windows 8, Windows 7 SP1, Windows Vista SP2, Windows XP SP3, Mac OS X v10.6 10.8",,,,,"Smart Auto (32 Scenes Detected), Program, Live View Control, Digital IS, Portrait, Face Self-Timer, Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Snow, Fireworks, Long Shutter",,,1280 x 720 pixels at 25 fps,,,,,,,Yes,31,,,97.7 (W) x 56.0 (H) x 20.9 (D) mm,,,,Advance Point and shoot,,125 g (with Batteries and Memory Card),28 mm Wide-angle,
"Pentax K50 (18-135 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection, Live View",17 MP,,18 - 135 mm (35 mm Equivalent to 27 - 202.5 mm),"JPEG ( Good, Better, Best Quality ), JPG (EXIF 2.3), RAW (DNG), DCF 2.0 Compliant, DPOF, PIM III","Yes, Sensor Shift",100 - 51600,PENTAX KAF2 Bayonet Stainless Steel Mount,Yes,1/6000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (11), Focus Point Adjustment: Auto 11 Point, Auto 5 Point, User-selectable (Expanded Area AF), Center, AF Assist: Via Dedicated LED AF Assist Lamp, Focus Peaking","Yes, 2 or 12 sec","MPEG-4, H.264","Custom White Balance (3), White Balance Presets (9)","Yes, Primary (RGB) Color filter","Yes, 6 fps",,"Yes, Integrated Shake / Dust Reduction Sensor Movement System",Yes,,,,4928 x 3264 Pixels,,"Windows XP (SP3, 32-bit), Windows Vista (32-bit, 64-bit), Windows 7 (32-bit, 64-bit), Windows 8, (32-bit, 64-bit), Mac OS X 10.5, Mac OS X 10.6, Mac OS X 10.7, Mac OS X 10.8",,PRIME M,APS-C (23.7 x 15.7 mm),CMOS,,,,,"Yes, Pop Up","Yes, Hot-shoe, Wireless","Auto, On, Off, Red-eye, Slow Sync, Slow Sync+Redeye, Trailing Curtain Sync, Wireless","Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,16,,,,12.00 m (at ISO 100),,,,,,28 mm wide angle,
"Canon IXUS 140 HS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 - F/6.9,Linear PCM,"Yes, TTL Auto Focus",16 MP,4x,5 - 40 mm (35 mm Equivalent to 28 - 224 mm),"JPEG, DCF, EXIF 2.3, DPOF 1.1",,100 - 12800,Canon Zoom Lens,,1/2000 sec,1 sec,8x,,"Yes, 2 and 10 sec","MOV, H.264","Auto (Including Face Detection), Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom","Yes, Primary (RGB) Color Filter","Yes, 0.8 fps",Yes,,Yes,,,"Yes, 1 cm",,,"Windows 8, Windows 7 SP1, Windows Vista SP2, Windows XP SP3, Mac OS X v10.6 10.8, For Wi-Fi Connection PC: Windows 8, Windows 7 SP1, Mac OS X v10.6.8, v10.7, v10.8.2 or Later",,,,,"Smart Auto, Program, Portrait, Smart Shutter (Smile, Wink Self-timer, FaceSelf-timer), Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Color Accent, Color Swap, Snow, Fireworks, Long Shutter, Stitch Assist",,,1280 x 720 pixels at 25 fps,,,,,,,Yes,31,,,,,,,,,,28 mm Wide-angle,
"Sony CyberShot DSC QX10 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.3 (W) F5.9 (T),,"Yes, Multi Point AF, Touch AF",18 MP,,,"JPEG (DCF, EXIF, MPF Baseline) Compliant, DPOF Compatible",,100 - 12800,Sony G Lens,,1/1600 sec,1 sec,10x,,"Yes, 2 and 10 sec",,"Auto, Daylight, Shade, Cloudy, Flourescent White Balance 1, Flourescent White Balance 2, Flourescent White Balance 3, Incandescent","Yes, Primary (RGB) Color Filter",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC FZ200 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F8 (T),,"Yes, Contrast Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection, Live View",12.8 MP,4x,4.5 - 108 mm (35 mm Equivalent to 25 - 600 mm),"JPEG, DCF, EXIF 2.3, RAW, MPO","Yes, Power Optical Image Stabilization",100 - 6400,LEICA DC VARIO-ELMARIT Lens,Yes,1/4000 sec,60 sec,24x,"Focal Length Multiplier (6.2x), Normal Focus Range (30cm), No. of Focus Points (23)","Yes, 2 or 10 sec","MPEG-4, AVCHD","White Balance Presets (5), Custom White Balance(2)","Yes, Primary (RGB) Color filter","Yes, 12 Images at 12 fps (Full Resolution Image with AF Tracking), 5.5 fps and 2 fps (Intelligent Burst Shooting), 60 fps (High-speed Burst, Recorded in 2.5 M), 40 fps (Recorded in 5 M)",,,Yes,"Yes, Mini HDMI, Type-C","4:3, 16:9, 3:2, 1:1","Yes, 1 cm",4000 x 3000 Pixels,"Yes, Built-in Stereo","Windows 7, Windows Vista, Windows XP, Windows 2000, MAC OS 9.x, MAC OS",Yes,Venus Engine VII FHD,1/2.3 inch,High Sensitivity MOS,"Intelligent Auto, Program, Aperture Priority, Shutter Priority, Manual, C1 (Custom), C2 (Custom), Creative Video, Creative Control, Scene","Yes, Audio / Video",Yes,1920 x 1080 pixels at 50 fps,"Yes, Pop-up","Yes, Hot-shoe","Auto, On, Off, Red-eye, Slow Sync","Yes, Intelligent Multiple, Center Weighted, Spot",,,Yes,6,No,,,"0.3 - 13.5 m (W), 1.0 - 13.5 m (T)",,,,,,25 mm Ultra Wide-angle,
"Panasonic Lumix DMC GH3H (14-140 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F4.0 (W) - F5.8 (T),,"Yes, Contrast Detect AF",16.05 MP,4x,14 -140 mm (35 mm Equivalent 28 - 280 mm),"JPEG, DCF, EXIF 2.3, RAW, MPO ( RAW, RAW+Fine, RAW+Standard, Fine, Standard )","Yes, Optical",200 - 12800,LUMIX G VARIO HD 14-140mm / F4.0-5.8 ASPH. / MEGA O.I.S.,Yes,1/4000 sec,60 sec,,,"Yes, 10 or 2 sec","AVCHD, MPEG-4-AVC (H.264), MOV, MP4","Auto, Daylight, Cloudy, Shade, Incandescent, Flash, White Set (1, 2, 3, 4), Color Temperature Setting (2500 - 10000000 in 100000)","Yes, Primary (RGB) Color Filter",,,,Yes,"Yes, miniHDMI TypeC",,,,"Yes, Stereo, Wind-cut: Off, Low, Standard, High, Auto",,"Yes, PictBridge 1.0",,,,,"Yes, Monaural Type, NTSC / PAL",Yes,1920 x 1080 pixels,,,,"Yes, 144 Zone Multi-pattern Sensing System",,,,,,,,,,,,,,,
"Samsung Galaxy GC100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,,16.3 MP,,,,,100 - 3200,,,,,,,,"MPEG-4, H.264",,,,,,,,,,,,,,,,,,,,1920 x 1080 pixels at 30 fps,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix JZ700 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.6 (W) - F/6.3 (T),Linear PCM,"Yes, TTL Contrast AF",14 MP,2x,4.3 - 34.4 mm (35 mm Equivalent to 24 - 192 mm),"JPEG, EXIF 2.3, DCF, DPOF, MPO",,100 - 3200,Fujinon Lens,,1/2000 sec,1/4 sec,8x,,"Yes, 2 and 10 sec","MOV, H.264","Automatic Scene Recognition, Preset: Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light","Yes, Primary (RGB) Color Filter","Yes, 8.0 fps (H), 5.0 fps (M), 3.0 fps (L)",Yes,,Yes,,"16:9, 3:2, 1:1","Yes, 5 cm 100 cm (W), 100 cm 200 cm (T)",4288 x 3216 Pixels,,,,,1/2.3 inch,CMOS,"SP: SR Auto, Auto, Program AE, Pro Low-light, HDR, Natural Light with Flash, Natural Light, Portrait, Baby Mode, Smile and Shoot, Landscape, Advanced Filter, Motion Panorama 360, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Individual Shutter 3D",,,1920 x 1080 pixels at 30 fps,,,,,,,Yes,35,,,99.4 (W) x 57.0 (H) x 22.6 (D) mm,,,,Point & Shoot,,"117 g (without Battery and Memory Card), 134 g (with Battery and Memory Card)",24 mm Wide-angle,
"Sony NEX 5T (16-50mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Dolby Digital (AC-3) 2ch/MPEG-4 AAC-LC 2ch,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Touch, Face Detection, Live View",16.7 MP,4x,16 - 50 mm (35 mm Equivalent to 24 - 75 mm),"JPEG (DCF Ver. 2.0, Exif Ver.2.3, MPF Baseline compliant), RAW (Sony ARW 2.3 format)",No,100 - 25600,Sony E (NEX),Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (25), Tracking Focus, Predictive control, Focus lock, Eye-Start AF, Built-in AF illuminator","Yes, 2 or 10 sec","AVCHD, MP4","Auto WB, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, Custom",,"Yes, Continuous mode: max. 3 fps, Speed Priority Continuous shooting: max. 10 fps",No,"Yes, Charge protection coating on optical filter and ultrasonic vibration mechanism","Yes, Up to 8 faces detectable automatically, Smile Shutter","Yes, HDMI Mini, Type C",,,4912 x 3264 Pixels,"Yes, Built-in Stereo","Windows XP 7 SP3, Windows Vista 8 SP2, Windows 7 SP1, Windows 8, Mac OS X (v10.5-v10.8","Yes, Exif Print, Print Image Matching III, DPOF setting",BIONZ,23.5 x 15.6 mm,Exmor APS HD CMOS,"Single-shot, Continuous shooting, Speed Priority Continuous shooting, Self-timer, Bracketing, Remote Cdr",,Yes,,No,"Yes, Accessory Port","Auto, On, Off, Red-Eye, Slow Sync, Rear Curtain, Fill-in","Yes, Multi-segment, center-weighted, spot","Yes, 1/160 sec",,Yes,,Yes,,,,,,,,,,
"Nikon D3100 (AF-S 18-55 mm VR & AF-S 35mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",15 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG ( Fine, Normal & Basic Quality )",No,100 - 12800,Nikon F,Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1.5x), No. Of Focus Points (11)","Yes, 2 or 10 sec",MPEG-4,"White Balance Presets (12), Custom White Balance (1), Incandescent, Fluorescent, Direct sunlight, Flash, Cloudy, Shade, White balance preset",,"Yes, 3 fps",Yes,,Yes,,,,4608 x 3072 Pixels,,,,Expeed 2 Image Processing Engine,APS-C (23.1 x 15.4 mm),CMOS,"Single, Continuous @ 3 fps, Self Timer Mode, Quiet Shutter Release",,,,"Yes, Pop-Up","Yes, Hot-shoe, Wireless plus sync connector","Front Curtain Sync, Red Eye Reduction, Slow Sync with red eye reduction, Slow sync, rear curtain sync","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,,20,,,,12.0 m,,,,,,,
"Canon IXUS 135 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 (W) - F/6.9 (T),Linear PCM,"Yes, TTL",16 MP,4x,5 - 40 mm (35 mm Equivalent to 28 - 224 mm),"JPEG, DCF, EXIF 2.3, DPOF 1.1",,100 - 1600,Canon Zoom Lens,,1/2000 sec,1 sec,8x,,"Yes, 2 and 10 sec","MOV, H.264","Auto (Including Face Detection), Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom","Yes, Primary (RGB) Color Filter","Yes, 0.8 fps",,,Yes,,,"Yes, 1 cm 50 cm (W)",,,"Windows 8, Windows 7 SP1, Windows Vista SP2, Windows XP SP3, Mac OS X v10.6 10.8, For Wi-Fi Connection to PC: Windows 8, Windows 7 SP1, Mac OS X v10.6.8 / 10.7 / 10.8.2 or later",,,,,"Smart Auto, Program, Portrait, Smart Shutter (Smile, Wink Self-timer, Face Self-timer), Low Light (4.0 MP), Fish-eye Effect, Miniature Effect, Toy Camera Effect, Monochrome, Super Vivid, Poster Effect, Color Accent, Color Swap, Snow, Fireworks, Long Shutter, Stitch Assist",,,1280 x 720 pixels at 25 fps,,,,,,,Yes,30,,,92.9 (W) x 52.4 (H) x 21.6 (D) mm,,,,Advance Point and shoot,,"118 g (Body Only), 134 g (with Battery and Meomry Card)",28 mm Wide-angle,
"Nikon CoolPix S2700 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/6.5,WAV,"Yes, TTL Auto Focus",16 MP,4x,4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),"JPEG, DCF, EXIF 2.3, DPOF",,80 - 3200,NIKKOR Lens,Yes,1/2000 sec,1 sec,6x,,"Yes, 2 and 10 sec",AVI (Motion JPEG Compliant),,,"Yes, 6 Images at 1.3 fps",Yes,,,,,"Yes, 5 cm",,,,,,,,"Auto, Scene (Scene Auto Selector, Portrait, Landscape, Sports, Night Portrait, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Night Landscape, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Backlighting, Pet Portrait), Special Effects, Smart Portrait",,,1280 x 720 pixels at 30 fps,,,,,,,,27,,,94.8 (W) x 57.8 (H) x 20.8 (D) mm,,,,Point & Shoot,,125 g (with Battery and SD Meomry Card),26 mm Wide-angle,
"Panasonic Lumix DMC FX80 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.5 - F/6.4,,,12.1 MP,4x,4.3 - 21.5 mm (35 mm Equivalent to 24 - 120 mm),"JPEG, DCF, EXIF 2.3, MPO",,100 - 6400,Leica DC Vario-Elmarit,,1/1600 sec,8 sec,5x,,"Yes, 2 and 10 sec","AVCHD, MP4","Auto, Daylight, Cloudy, Shade, Incandescent, White Set, White Balance Adjustment","Yes, Primary (RGB) Color Filter","Yes, 3.7 fps",,,,"Yes, Mini HDMI",,,,"Yes, Stereo",,Yes,,,,,"Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels,,,,,,,Yes,6,,,96.3 (W) x 56 (H) x 19.4 (D) mm,,,,Point & Shoot,,"114 g (without Battery and SD Memory Card), 131 g (with Battery and SD Memory Card)",24 mm Ultra Wide-angle,
"Sony CyberShot DSC HX10V Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 (W) - F/5.9 (T),AC3 Stereo,"Yes, TTL Contrast Detection",18.2 MP,40x,4.28 - 68.48 mm (35 mm Equivalent to 24 - 384 mm),"JPEG, DCF, DPOF",,100 - 12800,Sony G Lens,,1/1600 sec,30 sec,16x,,"Yes, 2 and 10 sec","AVCHD, AVC MP4","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set","Yes, Primary (RGB) Color Filter","Yes, 10 fps",Yes,,Yes,,"16:9, 4:3","Yes, 5 cm (W) 120 cm (T) Minimum iAuto AF, 5 cm (W) 120 cm (T) Minimum Program Auto",4896 x 3672 Pixels,,,,,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Easy Shooting, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, 3D, Background Defocus, Intelligent Sweep Panorama, Manual Exposure",,,1920 x 1080 pixels,,,,,,,Yes,19,,,104.7 (W) x 59.7 (H) x 33.8 (D) mm,,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO HG Duo / SD / SDHC / SDXC / Memory Stick Micro / Memory Stick Micro (Mark2) / Micro SD Memory Card / Micro SDHC Memory Card,,Point & Shoot,Yes,"204 g (Camera Body Only), 234 g ((with Battery and Memory Stick)",24 mm Wide-angle,58.0 MB
"Pentax K50 (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection, Live View",17 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG ( Good, Better, Best Quality ), JPG (EXIF 2.3), RAW (DNG), DCF 2.0 Compliant, DPOF, PIM III","Yes, Sensor Shift",100 - 51600,PENTAX KAF2 Bayonet Stainless Steel Mount,Yes,1/6000 sec,30 sec,,"Focal Length Multiplier (1.5x), No. of Focus Points (11), Focus Point Adjustment: Auto 11 Point, Auto 5 Point, User-selectable (Expanded Area AF), Center, AF Assist: Via Dedicated LED AF Assist Lamp, Focus Peaking","Yes, 2 or 12 sec","MPEG-4, H.264","Custom White Balance (3), White Balance Presets (9)","Yes, Primary (RGB) Color filter","Yes, 6 fps",,"Yes, Integrated Shake / Dust Reduction Sensor Movement System",Yes,,,,4928 x 3264 Pixels,,"Windows XP (SP3, 32-bit), Windows Vista (32-bit, 64-bit), Windows 7 (32-bit, 64-bit), Windows 8, (32-bit, 64-bit), Mac OS X 10.5, Mac OS X 10.6, Mac OS X 10.7, Mac OS X 10.8",,PRIME M,APS-C (23.7 x 15.7 mm),CMOS,"Custom Image Modes: Bright, Natural, Portrait, Landscape, Vibrant, Radiant, Muted, Bleach Bypass, Reversal Film, Monochrome, Cross Processing, PASMB: P, A, S, M, B (Extended Modes Sv, TAv), Continuous Hi: 6.0 fps (30 JPG, 8 RAW), Continuous Lo: 3.0 fps (Unlimited JPG, 10 RAW), Multi-exposure: 2 - 9 Shots, Interval: 999 Shots, 3 sec to 24 hrs Interval, Auto Picture Modes: Standard, Portrait, Landscape, Macro, Moving Object, Night Scene Portrait, Night Scene, Blue Sky, Forest",,,,"Yes, Pop Up","Yes, Hot-shoe, Wireless","Auto, On, Off, Red-eye, Slow Sync, Slow Sync+Redeye, Trailing Curtain Sync, Wireless","Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,16,,,,12.00 m (at ISO 100),,,,,,28 mm wide angle,
"Nikon CoolPix S4300 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/6.5,WAV,"Yes, Contrast Detect AF",16 MP,4x,4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),"JPEG, DCF, EXIF 2.3, DPOF",,80 - 3200,NIKKOR Lens,Yes,1/2000 sec,4 sec,6x,,"Yes, 2 and 10 sec",AVI (Motion-JPEG),"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual",,"Yes, 1.3 fps up to 6 Images",,,,,,"Yes, 4 cm (Wide-angle Position)",,,"Windows 98 SE, Windows XP, Windows 2000, Windows ME, Apple MAC OS 9.2, Apple MAC OS 9, Apple MAC OS X 10.1, Apple MAC OS X 10.2, Apple MAC OS X 10.3, Apple MAC OS X 10.4, Apple MAC OS X 10.5, Apple MAC OS X 10.6, Apple MAC OS X 10.7",,,,,"Auto, Scene (Scene Auto Selector, Portrait, Landscape, Sports, Night portrait, Party, Indoor, Beach, Snow, Sunset, Dusk, Dawn, Night Landscape, Close-up, Food, Museum, Fireworks show, Black and White Copy, Draw, Backlighting, Panorama Assist, Pet Portrait), Special Effects, Smart Portrait",,,,,,,,,,Yes,27,,,95.5 (W) x 58.9 (H) x 20.8 (D) mm,,,,Point & Shoot,,139 g (with Battery and SD Memory Card),26 mm Wide-angle,
"Panasonic Lumix DMC F5 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.2 (W) - F/6.5 (T),,"Yes, Contrast Detect AF",14.1 MP,4x,5 - 25 mm (35 mm Equivalent to 28 - 140 mm) (Image) and (35 mm Equivalent to 34 - 170 mm) (Video),"JPEG, DCF, EXIF 2.3",,100 - 6400,,,1/2000 sec,8 sec,5x,,"Yes, 2 and 10 sec",,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set","Yes, Primary (RGB) Color Filter","Yes, 0.5 fps",Yes,,,,,"Yes, 5 cm",,,"Windows 8, Windows 7, Windows Vista, Windows XP, Mac OS X 10.1 10.8",,,,,"Auto Scene, Normal Picture, Scene, Panorama Shot",,,1280 x 720 pixels at 30 fps,,,,,,,Yes,24,,,97.4 (W) x 58 (H) x 21.5 (D) mm,,,,Point & Shoot,,"106 g (without Battery and Memory Card Media), 121 g (with Battery and SD Meomry Card)",28 mm Wide-angle,
