<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
"NIKON COOLPIX S32 WHITE 13MP 3X 2.7"" WATERPROOF 32190",EH-70P (Included); EH-62G (Sold Separately),None,13MP,NA,EN-EL12,Yes,25MB,4.7 fps,Waterproof,.,White,Micro USB; HDMI micro Connector (D),.,4x,LCD,13.2MP,Programmed auto,No,"JPEG, MOV",TTL Auto,"W: 30cm to infinity, T: 50cm to infinity, Macro: 5cm to infinity",Yes,125-1600,4.1-12.3mm (35mm equivalent: 30-90mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",-10 to 40C (14 to 104F),3x,No,"2.7""","10 sec., Smile","1/3.1"" CMOS",4 sec - 1/2000 sec,LCD,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,Yes,Yes,,,,,,,,,175g (6.2 oz.),107.6 x 66.1 x 40.4mm (4.3 x 2.7 x 1.6 in.),,,,,,,,,,,,,,,,,,
PANASONIC DMCTS25W WHITE 16.1MP 4X WATERPROOF DMCTS25W,110-240V AC,8x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 1.3 fps at 16.1 MP for up to 10 frames
Up to 8 fps at 3 MP",Waterproof,.,White,"AV Output, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 39.37"" (100 cm) - Infinity
Wide Macro: 1.97"" (5 cm) - Infinity
Tele Macro: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Lumix DC Vario, 10 elements in 11 groups
5 Aspheric, 1 ED
EFL: 4.5-18 mm (35 mm equivalent: 25-100 mm)
Aperture: f/3.9 (W) - 5.7 (T) to f/13",SD/SDHC/SDXC,Multi,"-10 to 40C (14 to 104F)
Humidity: 0-85%",4x,N/A,"2.7""","2 Sec, 10 Sec","1/2.33"" MOS",8-1/1300 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Shade",,,,,,Yes,5.0 ft.,7.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEICA D-LUX 6 GLOSSY BLACK/SILVER 18115,N/A,None,10MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 11 fps at 10 MP for up to 12 frames
Up to 5 fps at 10 MP for up to 100 frames
Up to 40 fps at 5 MP for up to 40 frames
Up to 60 fps at 2.5 MP for up to 60 frames",Advanced,.,Black,"AV Output, HDMI C, USB 2.0",.,4x,LCD Rear Screen,10.1MP,"Modes: Aperture Priority, Auto, Manual, Programmed Auto, Shutter Priority
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, MPO, RAW","Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Normal: 19.69"" (50 cm) - Infinity
Wide Macro: 0.39"" (1 cm) - Infinity
Tele Macro: 11.81"" (30 cm) - Infinity",N/A,80-12800,"11 elements in 10 groups
5 Aspheric
EFL: 4.7-17.7 mm (35 mm equivalent: 24-90 mm)
Aperture: f/1.4 (W) - 2.3 (T)",SD/SDHC/SDXC,"Center-weighted, Multi, Spot","0 to 40C (32 to 104F)
Humidity: 10-80%",3.8x,N/A,"3.0""","2 Sec, 10 Sec","1/1.7"" CMOS",250-1/4000 sec,LCD Display,2 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Incandescent, Manual, Shade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HASSELBLAD STELLAR SLV, WALNUT WOOD GRIP 3012654","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Walnut Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX AW120 ORANGE 16MP 5X 3"" WATERPROOF 32360",EH-71P (Included); EH-62G (Sold Separately),None,16MP,NA,EN-EL12,Yes,329 MB,6.9 fps,Waterproof,.,Orange,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,OLED,16.0MP,Programmed auto,No,"JPEG, MOV",TTL Auto,"W: 50cm to infinity, T: 50cm to infinity, Macro mode: 1cm",Yes,125-6400,4.3-21.5mm (35mm equivalent: 24-120mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",-10 to 40C (14 to 104F),4x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",4 sec - 1/4000 sec,OLED,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",(0),(0),(0),(1),(0),No,Yes,Yes,,,,,,,,,213g (7.5 oz.),110.1 x 66.0 x 25.5mm (4.4 x 2.6 x 1.0 in.),,,,,,,,,,,,,,,,,,
"FUJI FINEPIX F900EXR RED 16MP 20X 3""CMOS 600012606",AC-5VX (Optional),2x,16MP,"1:1, 3:2, 4:3, 16:9",NP-50A,Yes,21MB,"Up to 11 fps at 16 MP for up to 5 frames
Up to 6 fps at 16 MP for up to 5 frames
Up to 3 fps at 16 MP for up to 11 frames
Up to 16 fps at 8 MP for up to 13 frames
Up to 16 fps at 8 MP for up to 10 frames",Super Zoom,.,Red,"AV Output, HDMI C, USB 2.0",.,N/A,LCD Rear Screen,16.0MP,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in .3 EV steps)",None,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 1.48' (45 cm) - Infinity
Telephoto: 8.20' (2.5 m) - Infinity
Wide Macro: 1.97"" (5 cm) - 9.84' (3 m)
Tele Macro: 4.27' (1.3 m) - 9.84' (3 m)",Yes,100-12800,"14 elements in 11 groups
EFL: 4.6-92 mm (35 mm equivalent: 25-500 mm)
Aperture: f/3.5 (W) - 5.3 (T) to f/16",SD/SDHC/SDXC,"Average, Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",20x,N/A,"3.0""","2 Sec, 10 Sec","1/2"" CMOS",8-1/2000 sec,LCD Display,2 year warranty,"Auto, Custom, Fluorescent, Fluorescent (Day White), Fluorescent (White), Incandescent, Shade, Underwater",(1),(0),(0),(0),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S6700 BLACK 20.1MP 10X 3"" 32186",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,No,1.1 fps,Small & Easy,.,Black,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 5cm to infinity,No,80-3200,4.5-45.0mm (35mm equivalent: 25-250mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),10x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/2000 sec,LCD Display,,"Auto, Cloudy, Daylight, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,137g (4.83 oz.),95.3 x 58.2 x 21.4mm (3.75 x 2.29 x 0.84 in.),,,,,,,,,,,,,,,,,,
"PANASONIC DMCF5K BLACK 14.1MP 5X 2.7"" DMCF5K",110-240V AC,None,14MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,10MB,N/A,Small & Easy,.,Black,N/A,.,4x,LCD Screen,14.1MP,Program AE,N/A,JPEG,"Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off",Normal / Auto Scene: Wide 10 cm - infinity / Tele 100 cm - infinity,N/A,100-6400,f=5 - 25 mm (28 - 140 mm in 35 mm equiv.) (34 - 170mm in 35mm equiv. in video recording),SD/SDHC/SDXC,N/A,N/A,5x,N/A,"2.7""","2 Sec, 10 Sec","1/2.33"" CCD",8-1/2000 sec,LCD Display,1 year warranty,Auto / Daylight / Cloudy / Shade / Incandescent / White Set,(0),(0),(0),(1),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS SH-1 WHITE 16MP 24X 3"" 60P FULLHD V107080WU000",F-2AC,2x,16MP,3:2,LI-92B,Yes,37MB,2.5 fps; 11.5 fps; 20 fps; 60 fps,Super Zoom,.,White,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto (iAUTO), Program Auto (P), Manual (M), Art Filters (11), Scene Modes (16), Hand-Held Starlight, Panorama, Photo Story, Advanced Movie",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off","Wide: 10cm/3.9in to infinity; Tele: 40cm/15.7in to infinity; Super Macro Mode: 3cm/1.2in to infinity, focal length fixed to 25mm (equiv)",Yes,100-6400,4.5 - 108mm (35mm equivalent: 25 - 600mm),"SD, SDHC, SDXC",NA,NA,24x,via Wi-Fi from mobile device,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",30-1/2000 sec,LCD Display,,"Auto, One-touch, Cloudy, Sunny, Incandescent, Fluorescent",,,,,,No,No,No,,,,,,,,,271 g (9.5 oz.),108.8 x 63.2 x 42.4mm (4.3 x 2.5 x 1.7 in.),,,,,,,,,,,,,,,,,,
"OLYMPUS SH-1 BLACK 16MP 24X 3"" 60P FULLHD V107080BU000",F-2AC,2x,16MP,3:2,LI-92B,Yes,37MB,2.5 fps; 11.5 fps; 20 fps; 60 fps,Super Zoom,.,Black,"USB Connector, DC Jack, AV Output, HDMI Type D",.,4x,LCD Rear Screen,16.0MP,"Intelligent Auto (iAUTO), Program Auto (P), Manual (M), Art Filters (11), Scene Modes (16), Hand-Held Starlight, Panorama, Photo Story, Advanced Movie",No,Still: JPEG; Video: MOV/H.264,"Auto, Red Eye Reduction, Fill-in, Off","Wide: 10cm/3.9in to infinity; Tele: 40cm/15.7in to infinity; Super Macro Mode: 3cm/1.2in to infinity, focal length fixed to 25mm (equiv)",Yes,100-6400,4.5 - 108mm (35mm equivalent: 25 - 600mm),"SD, SDHC, SDXC",NA,NA,24x,via Wi-Fi from mobile device,"3.0""","2 sec, 12 sec, Custom","1/2.3"" BSI CMOS",30-1/2000 sec,LCD Display,,"Auto, One-touch, Cloudy, Sunny, Incandescent, Fluorescent",,,,,,No,No,No,,,,,,,,,271 g (9.5 oz.),108.8 x 63.2 x 42.4mm (4.3 x 2.5 x 1.7 in.),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L830 BLACK 16MP 34X 3"" 32420",EH-67 (Sold Separately),None,16MP,NA,4 rechargeable EN-MH2 NiMH or 4 LR6/L40 alkaline or 4 FR6/L91 lithium,Yes,59MB,6.7 fps,Super Zoom,.,Black,"Hi-Speed USB, AV Output, DC Input, HDMI micro connector",.,4x,TFT Screen LCD Display,16.0MP,Programmed Auto,None,Still: JPEG; Movies: MOV,TTL auto,W: 50cm to infinity; T: 1.5m to infinity; Macro mode: Approx. 1cm to infinity,No,125-3200,4.0-136 mm (35mm equivalent: 22.5-765 mm),SD/SDHC/SDXC,"Matrix, Centre-weighted, Spot",0 to 40C (32F to 104F),34x,No,"3.0""","2, 10 Sec","1/2.3"" CCD",4 sec. to 1/4000 sec.,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,508g (1 lb 2.0 oz),111.0mm x 75.8mm x 91.2mm (4.4 x 3.0 x 3.6 in.),,,,,,,,,,,,,,,,,,
"HASSELBLAD STELLAR SLV,CARBON FIBER GRIP 3012600","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Carbon Fiber Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGMA 50MM F1.4 DG HSM (ART) CANON A50DGHC,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,7 year manufacturer warranty,,(0),(0),(0),(0),(2),,,,,,,,,,,,815g (28.7 oz),,46.8 degrees,"Max: f/1.4, Min: f/16",,Yes,Canon EF,9,85.4 x 99.9 mm (3.4 x 3.9 in),,77mm,50mm,Full-frame DSLR,8 Groups/13 Elements,1:5.6,40cm (15.7 in),No,,,f/1.4
"HASSELBLAD STELLAR SLV,MAHOG WOOD GRIP 3012609","3.6 V AC Adaptor AC-UD10/UD11, 5V",N/A,20MP,16:9; 4:3,NP-BX1,Yes,No,N/A,Advanced,.,Silver w/ Mahogany Wood Grip,"HDMI micro jack, Micro USB (USB2.0)",.,N/A,TFT LCD,20.2MP,"Automatic exposure, Aperture priority, Shutter priority, Manual exposure, Scene Selection (13 modes)",No,"Still: RAW, JPEG; Video: AVCHD, MPEG-4 AVC/H.264",N/A,N/A,Yes,N/A,Carl Zeiss Vario-Sonnar T*,"Memory Stick Duo media, Memory Stick Micro media, SD cards, microSD memory cards",N/A,Operating: 0 C to 40 C (32 F to 104 F); Storage: -20 C to 60 C (-4 F to 140 F),3.6x,N/A,"3.0""",N/A,13.2 x 8.8 mm CMOS Sensor,N/A,N/A,Canadian Warranty: Two Years Parts & Labour,"Automatic, Daylight, Shade, Cloudy,Incandescent, Fluorescent (Warm White/ Cool White/Day White/Daylight), Flash, Color temperature/Color filter, Custom",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANASONIC DMCTS25A BLUE 16.1MP 4X WATERPROOF DMCTS25A,110-240V AC,8x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 1.3 fps at 16.1 MP for up to 10 frames
Up to 8 fps at 3 MP",Waterproof,.,Blue,"AV Output, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 39.37"" (100 cm) - Infinity
Wide Macro: 1.97"" (5 cm) - Infinity
Tele Macro: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Lumix DC Vario, 10 elements in 11 groups
5 Aspheric, 1 ED
EFL: 4.5-18 mm (35 mm equivalent: 25-100 mm)
Aperture: f/3.9 (W) - 5.7 (T) to f/13",SD/SDHC/SDXC,Multi,"-10 to 40C (14 to 104F)
Humidity: 0-85%",4x,N/A,"2.7""","2 Sec, 10 Sec","1/2.33"" MOS",8-1/1300 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Shade",,,,,,Yes,5.0 ft.,7.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG EX-2F 12MP 3.3X F1.4 WIFI 3"" EC-EX2FZZBPBCA",N/A,4x,12MP,"1:1, 3:2, 4:3, 16:9",SLB-10A,Yes,N/A,"Up to 10 fps
Up to 5.0 fps
Up to 3.0 fps",Wi-Fi,.,Black,"AV Output, HDMI D, USB 2.0",.,1.33x,OLED Rear Screen Swivel,12.4MP,"Modes: Aperture Priority, Auto, Manual, Program, Shutter Priority
Compensation: -2 EV to +2 EV (in .33 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Fill-in
Off
Red-eye Reduction
Slow Sync","Normal: 15.75"" (40 cm) - Infinity
Wide: 39.37"" (100 cm) - Infinity
Wide Macro: 0.39"" (1 cm) - 15.75"" (40 cm)
Tele Macro: 15.75"" (40 cm) - 39.37"" (100 cm)
Macro: 0.39"" (1 cm) - Infinity
Macro: 15.75"" (40 cm) - Infinity
Manual: 0.39"" (1 cm) - Infinity
Manual: 15.75"" (40 cm) - Infinity",Yes,80-12800,"Schneider-KREUZNACH
EFL: 5.2-17.22 mm (35 mm equivalent: 24-80 mm)
Aperture: f/1.4 (W) - 2.7 (T)",SD/SDHC/SDXC,"Center-weighted, Face Detection, Multi, Spot","0 to 40C (32 to 104F)
Humidity: 5-85%",3.3x,N/A,"3.0""","2 Sec, 10 Sec","1/1.7"" CMOS","Type: Mechanical
Speed: 30-1/2000 sec",LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Fluorescent (Day White), Fluorescent (White), Fluorescent H, Kelvin, Tungsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM XF1 RED 12MP EXR 4X WIDE ANGLE 3"" 600012395",AC-5VX (Optional),None,12MP,"1:1, 3:2, 4:3, 16:9",NP-50A,Yes,25MB,"Up to 7 fps at 12 MP
Up to 10 fps at 8 MP",Advanced,.,Red,"HDMI C, USB 2.0",.,Intelligent digital zoom approx. 2x (up to 8 x when combined with optical zoom),LCD Rear Screen,12.0 million pixels,"Modes: Aperture Priority, Manual, Programmed Auto, Shutter Priority
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On
Flash On w/ Red-eye Reduction
Forced On
Off
Slow Sync
Slow Sync./Red-eye Reduction","Wide: 1.64' (50 cm) - Infinity
Telephoto: 2.62' (80 cm) - Infinity
Wide Macro: 1.18"" (3 cm) - 9.84' (3 m)
Tele Macro: 1.64' (50 cm) - 9.84' (3 m)",Yes,100-12800,"Fujinon 4x optical zoom lens focal length: f=6.4 - 25.6 mm, equivalent to 25 - 100 mm on a 35 mm format Full-aperture F1.8 (Wide) - F4.9 (Telephoto) Construction: 6 groups 7 lenses (4 aspherical glass molded lenses included)",SD/SDHC/SDXC,"Center-weighted, Multi, Spot, TTL 256-zones","0 to 40C (32 to 104F)
Humidity: 10-80%",4x,N/A,"3.0""","2 Sec, 10 Sec","2/3"" CMOS",30-1/2000 sec,LCD Display,2 year warranty,"Auto, Custom, Fluorescent (Day White), Fluorescent (Natural White), Fluorescent (White), Incandescent, Kelvin, Shade, Underwater",,,,,,,,,F1.8-F11 (Wide) F4.9-F11 (Telephoto) 1/3EV step (controlled 6-blade aperture diaphragm),107.9(W) x 61.5(H) x 33.0(D) mm / 4.2(W) x 2.4(H) x 1.2(D),-2.0EV - +2.0EV 1/3EV step,"TTL 256-zones metering, Multi / Spot / Average","Auto flash (super intelligent flash) Effective range: (ISO AUTO (800)), Wide: Approx. 50 cm - 7.4 m / 1.6 ft. - 24.2 ft. Telephoto: Approx. 80 cm - 2.7 m / 2.6 ft. - 8.8 ft. Flash modes: Red-eye removal OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro., Red-eye removal ON: Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","3.0-inch, approx. 460,000 dots, colour LCD monitor, approx. 100% coverage","SP: Natural Light, Natural Light & Flash, Portrait, Portrait Enhancer, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Underwater MODE DIAL: EXR, AUTO, P, S, A, M, C1, C2, Movie, SP, Adv.","Auto mode: 1/4 sec. to 1/2000* sec. All other modes: 30 sec. to 1/2000* sec.* 1/2000 sec. at small aperture, 1/1000 sec. at full aperture","Approx. 225 g / 7.9 oz. (including battery and memory card), Approx. 204 g / 7.1 oz. (excluding battery and memory card)",,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S6700 RED 20.1MP 10X 3"" 32187",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,No,1.1 fps,Small & Easy,.,Red,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 5cm to infinity,No,80-3200,4.5-45.0mm (35mm equivalent: 25-250mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),10x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/2000 sec,LCD Display,,"Auto, Cloudy, Daylight, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,137g (4.83 oz.),95.3 x 58.2 x 21.4mm (3.75 x 2.29 x 0.84 in.),,,,,,,,,,,,,,,,,,
"SONY DSCWX350 WHITE 18.2MP 20X 3"" DSCWX350W",AC-UB10C / UB10D,No,18MP,"1:1, 3:2, 4:3, 16:9",NP-BX1,Yes,No,10 fps,Super Zoom,,White,"AV Output, Micro HDMI, USB 2.0, Wi-Fi, NFC",,2x,LCD Rear Screen,18.2MP,"iAuto, Program Auto",None,JPEG,"�Auto, Flash On, Slow Synchro, Flash Off, Advanced Flash","W: 5cm (0.16 ft.) to Infinity, T: 200cm (6.56 ft.) to Infinity)�",Yes,80-12800,NA,"Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC","Centre-weighted, Multi Pattern, Spot",NA,20x,Yes,"3.0""","Off, 2 Sec, 10 Sec, portrait1, portrait2","1/2.3"" CMOS",4-1/1600 sec,LCD Display,,"Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",,,,,,No,No,No,,,,,,,,,137g (4.8 oz.),"96.0 x 54.9 x 25.7mm (3 7/8 x 2 1/4 x 1 1/16"")",,,,,,,,,,,,,,,,,,
PANASONIC LUMIX DMC-GH4 BODY (BLACK) DMCGH4K,,,16MP,"4:3, 3:2, 16:9, 1:1",NA,TTL,,,Compact System Camera,.,Black,"USB 2.0, Mini HDMI type D",,,OLED,16.05MP,Program AE/ Aperture-Priority / Sutter-Priority / Manual Exposure,,"JPEG (DCF, Exif 2.3), RAW, MPO (When attaching 3D lens in Micro Four Thirds system standard); MOV (Audio format LPCM), MP4 (Audio format LPCM / AAC 2ch), AVCHD (Audio format: Dolby Digital 2ch)","Auto*, Auto/Red-eye Reduction*, Forced On, Forced On/Red-eye Reduction, Slow Sync., Slow Sync./Red-eye Reduction, Forced Off * For iA, iA+only",,None No,100-25600,,"SD Memory Card, SDHC Memory Card, SDXC Memory Card (Compatible with UHS-I standard SDHC / SDXC Memory Cards)",Multiple / Center Weighted / Spot,0 to 40 degrees C (32 to 104 degrees F),,"Yes, DMW-RSL1 (Optional)",3.0 inch,"2 sec, 10 sec","17.3x13mm, Live MOS sensor","Bulb (60 minutes) - 1/8,000 sec",Electronic,,"Auto / Daylight / Cloudy / Shade / incandescent / Flash / White Set 1, 2, 3, 4 / Color temperature setting",(0),(0),(0),(0),(1),,,,,,,,,,,,None 480g (16.93 oz.),132.9 x 93.4 x 83.9mm (5.23 x 3.68 x 3.30 in),None or NA,None,"With Video, Stereo",None,None,None,None,1920x1080; 3840x2160; 4096x2160,None,None,None,None,None,None,None,NA,NA,
PANASONIC DMCTS25R RED 16.1MP 4X WATERPROOF DMCTS25R,110-240V AC,8x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,70MB,"Up to 1.3 fps at 16.1 MP for up to 10 frames
Up to 8 fps at 3 MP",Waterproof,.,Red,"AV Output, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 19.69"" (50 cm) - Infinity
Telephoto: 39.37"" (100 cm) - Infinity
Wide Macro: 1.97"" (5 cm) - Infinity
Tele Macro: 39.37"" (100 cm) - Infinity",Yes,100-6400,"Lumix DC Vario, 10 elements in 11 groups
5 Aspheric, 1 ED
EFL: 4.5-18 mm (35 mm equivalent: 25-100 mm)
Aperture: f/3.9 (W) - 5.7 (T) to f/13",SD/SDHC/SDXC,Multi,"-10 to 40C (14 to 104F)
Humidity: 0-85%",4x,N/A,"2.7""","2 Sec, 10 Sec","1/2.33"" MOS",8-1/1300 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Shade",(1),(0),(0),(0),(0),Yes,5.0 ft.,7.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
